gas,pressure_label,pressure_torr,voltage_V,field_Vcm,n_events_total,gain_mean,gain_median,gain_std,gain_rms_rel,survival
Ne_iC4H10_95_5_rP050,Saclay_160m,745.83,410.0,27333.333333333336,2000,12045.95,11347.00,5962.09,0.4949,1.0000
Ne_iC4H10_95_5_rP050,Saclay_160m,745.83,420.0,28000.0,2000,16094.41,15058.50,7721.62,0.4798,1.0000
Ne_iC4H10_95_5_rP050,Saclay_160m,745.83,430.0,28666.666666666668,2000,21210.37,20145.00,10049.32,0.4738,1.0000
Ne_iC4H10_95_5_rP050,Saclay_160m,745.83,440.0,29333.333333333336,2000,27435.27,26038.50,13006.73,0.4741,1.0000
Ne_iC4H10_95_5_rP050,Saclay_160m,745.83,450.0,30000.0,2000,36792.71,35184.50,16943.61,0.4605,1.0000
Ne_iC4H10_95_5_rP050,Saclay_160m,745.83,460.0,30666.666666666668,2000,48519.82,46150.00,23247.99,0.4791,1.0000
Ne_iC4H10_95_5_rP050,Saclay_160m,745.83,470.0,31333.333333333336,2000,63654.46,60753.50,28865.98,0.4535,1.0000
Ne_iC4H10_95_5_rP050,Saclay_160m,745.83,480.0,32000.0,2000,82997.57,78990.00,37932.69,0.4570,1.0000
Ne_iC4H10_95_5_rP050,Saclay_160m,745.83,490.0,32666.666666666668,2000,110459.22,106781.50,49947.11,0.4522,1.0000
Ne_iC4H10_95_5_rP050,Saclay_160m,745.83,500.0,33333.333333333336,2000,144449.46,140497.50,62515.64,0.4328,1.0000
Ne_iC4H10_95_5_rP050,Saclay_160m,745.83,510.0,34000.0,2000,186592.30,176807.50,84886.29,0.4549,1.0000
Ne_iC4H10_95_5_rP050,Saclay_160m,745.83,520.0,34666.66666666667,2000,238975.08,225977.00,109349.71,0.4576,1.0000
Ne_iC4H10_95_5_rP050,Saclay_160m,745.83,530.0,35333.333333333336,2000,318038.24,308090.00,141464.79,0.4448,1.0000
Ne_iC4H10_95_5_rP060,CERN_450m,720.81,400.0,26666.666666666668,2000,12319.65,11861.50,5770.03,0.4684,1.0000
Ne_iC4H10_95_5_rP060,CERN_450m,720.81,410.0,27333.333333333336,2000,16638.00,15974.50,7832.05,0.4707,1.0000
Ne_iC4H10_95_5_rP060,CERN_450m,720.81,420.0,28000.0,2000,22186.53,20974.00,10093.74,0.4549,1.0000
Ne_iC4H10_95_5_rP060,CERN_450m,720.81,430.0,28666.666666666668,2000,29011.84,27931.00,13196.79,0.4549,1.0000
Ne_iC4H10_95_5_rP060,CERN_450m,720.81,440.0,29333.333333333336,2000,39216.17,37414.00,17673.35,0.4507,1.0000
Ne_iC4H10_95_5_rP060,CERN_450m,720.81,450.0,30000.0,2000,51022.32,48484.00,23016.40,0.4511,1.0000
Ne_iC4H10_95_5_rP060,CERN_450m,720.81,460.0,30666.666666666668,2000,68724.98,66084.50,30690.57,0.4466,1.0000
Ne_iC4H10_95_5_rP060,CERN_450m,720.81,470.0,31333.333333333336,2000,91459.08,87954.50,40392.32,0.4416,1.0000
Ne_iC4H10_95_5_rP060,CERN_450m,720.81,480.0,32000.0,2000,119838.72,115201.50,53116.39,0.4432,1.0000
Ne_iC4H10_95_5_rP060,CERN_450m,720.81,490.0,32666.666666666668,2000,157146.19,153394.50,68925.12,0.4386,1.0000
Ne_iC4H10_95_5_rP060,CERN_450m,720.81,500.0,33333.333333333336,2000,205148.69,197937.00,88353.30,0.4307,1.0000
Ne_iC4H10_95_5_rP060,CERN_450m,720.81,510.0,34000.0,2000,270091.16,259949.50,117099.65,0.4336,1.0000
Ne_iC4H10_95_5_rP060,CERN_450m,720.81,520.0,34666.66666666667,2000,352269.95,333785.00,149732.80,0.4251,1.0000
Ne_iC4H10_95_5_rP060,CERN_450m,720.81,530.0,35333.333333333336,1800,462080.43,446936.50,195542.98,0.4232,1.0000
Ne_iC4H10_95_5_rP060,Saclay_160m,745.83,400.0,26666.666666666668,2000,12057.40,11530.00,5667.44,0.4700,1.0000
Ne_iC4H10_95_5_rP060,Saclay_160m,745.83,410.0,27333.333333333336,2000,15575.75,14898.00,7323.46,0.4702,1.0000
Ne_iC4H10_95_5_rP060,Saclay_160m,745.83,420.0,28000.0,2000,20983.48,19887.00,10052.95,0.4791,1.0000
Ne_iC4H10_95_5_rP060,Saclay_160m,745.83,430.0,28666.666666666668,2000,27863.41,27009.00,13122.19,0.4709,1.0000
Ne_iC4H10_95_5_rP060,Saclay_160m,745.83,440.0,29333.333333333336,2000,37392.14,35809.00,17642.14,0.4718,1.0000
Ne_iC4H10_95_5_rP060,Saclay_160m,745.83,450.0,30000.0,2000,49069.13,46192.00,22208.39,0.4526,1.0000
Ne_iC4H10_95_5_rP060,Saclay_160m,745.83,460.0,30666.666666666668,2000,66308.66,63429.00,30364.77,0.4579,1.0000
Ne_iC4H10_95_5_rP060,Saclay_160m,745.83,470.0,31333.333333333336,2000,85709.86,83280.50,37728.35,0.4402,1.0000
Ne_iC4H10_95_5_rP060,Saclay_160m,745.83,480.0,32000.0,2000,115184.94,111414.50,50482.44,0.4383,1.0000
Ne_iC4H10_95_5_rP060,Saclay_160m,745.83,490.0,32666.666666666668,2000,148705.65,144246.00,66443.90,0.4468,1.0000
Ne_iC4H10_95_5_rP060,Saclay_160m,745.83,500.0,33333.333333333336,2000,199130.00,190203.00,86723.07,0.4355,1.0000
Ne_iC4H10_95_5_rP060,Saclay_160m,745.83,510.0,34000.0,2000,258522.59,246709.00,113535.61,0.4392,1.0000
Ne_iC4H10_95_5_rP060,Saclay_160m,745.83,520.0,34666.66666666667,2000,342065.27,329240.50,147246.85,0.4305,1.0000
Ne_iC4H10_95_5_rP060,Saclay_160m,745.83,530.0,35333.333333333336,2000,443527.63,428087.50,191190.59,0.4311,1.0000
