run,epoch,tree,ch,peak,found,sigma,amp,satu,fwhm,rise,area,spread90,nhit,nb
224357,2026-07-11,WALD,6,-1717.5000,1.0000,3.8103,29107.0605,0.0000,1802.2883,17.0406,902124.4688,955.7702,12.8230,3180
224357,2026-07-11,WALD,7,-1707.5000,1.0000,4.9420,28461.0039,0.0000,619.3090,20.3746,819767.1562,962.3243,9.8314,3180
224357,2026-07-11,WALD,8,-1707.5000,1.0000,5.0785,28216.8271,0.0000,1345.7311,20.7997,846679.8438,960.5931,11.0522,3180
224464,2026-07-16,PSSA,1,-1637.5000,0.4774,14.9430,38963.6855,0.0000,11.1667,0.0000,439688.9062,803.8326,31.0325,2681
224464,2026-07-16,PSSA,2,-1702.5000,0.6162,2.7129,36527.5469,0.0000,70.1458,29.9413,1632411.4375,767.4182,27.0041,2681
224464,2026-07-16,PSSB,1,-1707.5000,0.8322,3.0992,26181.7266,0.0000,50.8468,27.8030,1094513.2500,889.1745,25.8862,2681
224464,2026-07-16,PSSB,2,-1707.5000,0.5162,7.7556,43353.0195,0.0000,33.5196,20.8570,1221966.0000,743.2875,26.3771,2681
224464,2026-07-16,PSSC,1,-1707.5000,0.6595,4.0136,37889.9883,0.0000,42.1445,23.2007,1331669.8750,868.3976,22.2272,2681
224464,2026-07-16,PSSC,2,-1702.5000,0.7277,7.0923,40538.5820,0.0000,34.2715,22.8202,1309448.7500,886.1344,23.2193,2681
224464,2026-07-16,PSSD,1,-1707.5000,0.7538,2.7441,26422.0039,0.0000,54.0036,28.4035,1149854.3750,881.8999,23.6225,2681
224464,2026-07-16,PSSD,2,-1697.5000,0.5595,4.2731,26690.7871,0.0000,51.7241,28.8331,1242392.6250,781.4280,28.9232,2681
224464,2026-07-16,LIQA,1,-1707.5000,0.9907,3.9986,63999.0293,0.8313,78.0453,9.3985,5005919.2500,866.1620,39.6050,2681
224464,2026-07-16,LIQB,1,-1712.5000,0.9925,4.0034,63937.3672,0.8298,77.9718,10.9705,5038806.5000,949.6497,35.1149,2681
224464,2026-07-16,LIQC,1,-1697.5000,1.0000,3.9483,63902.4102,0.7408,144.4987,11.2645,7322725.0000,951.0145,47.6397,2681
224464,2026-07-16,LIQD,1,-1702.5000,1.0000,4.2622,63886.2617,0.8075,113.4634,8.7561,6433960.0000,797.6753,51.8795,2681
224464,2026-07-16,WALA,1,-1722.5000,1.0000,2.7980,28827.1934,0.0000,2258.1357,16.2074,852035.1250,955.2472,13.0888,2681
224464,2026-07-16,WALA,2,-1712.5000,1.0000,2.6558,28391.9141,0.0000,2352.6284,16.1198,792700.7500,951.3136,13.2988,2681
224464,2026-07-16,WALA,3,-1722.5000,1.0000,2.1625,28397.6113,0.0000,2557.5967,12.6919,817535.3125,879.6448,12.5863,2681
224464,2026-07-16,WALA,4,-1717.5000,1.0000,2.3188,28592.6914,0.0000,2641.4905,14.4471,689148.7500,916.0348,10.8877,2681
224464,2026-07-16,WALA,5,-1727.5000,1.0000,2.0354,28907.2754,0.0000,2576.3943,11.9914,936437.8750,880.7717,11.8217,2681
224464,2026-07-16,WALA,6,-1717.5000,1.0000,2.0718,28643.9395,0.0000,2432.5759,13.5581,837209.3750,933.2423,12.7411,2681
224464,2026-07-16,WALA,7,-1727.5000,1.0000,2.1629,28308.7148,0.0000,2460.5588,13.0516,886975.8125,923.5579,12.1645,2681
224464,2026-07-16,WALA,8,-1712.5000,1.0000,2.3199,29000.6309,0.0000,2305.6313,14.6037,849126.3125,953.1882,13.6333,2681
224464,2026-07-16,WALB,1,-1717.5000,1.0000,2.8871,28168.1211,0.0000,2403.9402,15.9909,792404.2500,927.1226,12.1037,2681
224464,2026-07-16,WALB,2,-1717.5000,1.0000,2.8938,28515.2188,0.0000,2435.1846,15.7160,740909.5000,929.0809,12.6195,2681
224464,2026-07-16,WALB,3,-1727.5000,1.0000,2.4758,28315.2090,0.0000,2749.8066,13.6043,805301.6250,922.2505,12.3543,2681
224464,2026-07-16,WALB,4,-1717.5000,1.0000,2.5104,28690.9316,0.0000,2708.8816,14.0874,760653.8125,907.0191,13.2040,2681
224464,2026-07-16,WALB,5,-1722.5000,1.0000,2.3047,28138.0488,0.0000,2893.4529,12.9023,786209.5000,913.3260,13.1384,2681
224464,2026-07-16,WALB,6,-1722.5000,1.0000,2.4147,28771.9082,0.0000,2784.8513,13.4178,788969.9375,921.2060,12.3853,2681
224464,2026-07-16,WALB,7,-1722.5000,1.0000,2.5463,28128.8613,0.0000,2724.8555,13.8294,805889.5625,919.6606,13.0000,2681
224464,2026-07-16,WALB,8,-1717.5000,1.0000,2.6811,29158.6953,0.0000,2630.2705,14.4996,803773.8750,885.1033,11.8978,2681
224464,2026-07-16,WALC,1,-1722.5000,1.0000,2.5360,29636.5117,0.0000,2458.6450,14.5126,927789.6875,893.0447,11.7822,2681
224464,2026-07-16,WALC,2,-1717.5000,1.0000,2.6545,28243.4785,0.0000,2336.3296,15.1529,823829.9375,950.8906,12.9340,2681
224464,2026-07-16,WALC,3,-1717.5000,1.0000,2.1766,28029.1152,0.0000,2724.1394,12.3216,848265.6875,905.7862,12.9523,2681
224464,2026-07-16,WALC,4,-1722.5000,1.0000,2.1427,28242.7832,0.0000,2758.0642,12.5248,775929.3125,913.9805,12.1197,2681
224464,2026-07-16,WALC,5,-1717.5000,1.0000,2.1867,28774.2676,0.0000,2695.6035,12.6747,917124.8750,897.0774,12.4375,2681
224464,2026-07-16,WALC,6,-1722.5000,1.0000,2.1327,28293.0195,0.0000,2759.4917,12.8892,780536.2500,909.0816,12.2939,2681
224464,2026-07-16,WALC,7,-1722.5000,1.0000,2.6082,30008.3145,0.0000,2711.9844,13.8529,840583.2500,908.5639,12.3793,2681
224464,2026-07-16,WALC,8,-1722.5000,1.0000,2.5843,28199.3281,0.0000,2731.2388,13.9043,740047.9375,892.0753,12.7098,2681
224464,2026-07-16,WALD,1,-1717.5000,1.0000,2.1990,28409.9336,0.0000,2632.6194,12.7434,834526.7500,895.8402,12.6531,2681
224464,2026-07-16,WALD,2,-1717.5000,1.0000,2.0276,27642.7773,0.0000,2705.4988,12.4949,772311.7500,890.6125,12.7978,2681
224464,2026-07-16,WALD,3,-1722.5000,1.0000,1.7686,27914.4609,0.0000,2806.3423,12.0351,750033.8750,913.9816,12.4170,2681
224464,2026-07-16,WALD,4,-1722.5000,1.0000,1.8045,28151.5234,0.0000,2762.7993,10.9329,847473.3125,910.6902,12.4987,2681
224464,2026-07-16,WALD,5,-1717.5000,1.0000,1.6961,27392.2617,0.0000,2840.3750,11.1807,787999.6250,912.3966,12.7113,2681
224464,2026-07-16,WALD,6,-1722.5000,1.0000,1.7419,30849.6191,0.0000,2875.0774,16.9878,1427131.8750,925.2228,11.9836,2681
224464,2026-07-16,WALD,7,-1712.5000,1.0000,2.0561,28858.2617,0.0000,2182.6511,15.1746,970908.4375,957.0411,13.2656,2681
224464,2026-07-16,WALD,8,-1717.5000,1.0000,2.2653,28303.5742,0.0000,2376.3250,13.2661,968603.9375,938.1279,12.4241,2681
224572,2026-07-26 post-FIFO,PSSA,1,-1687.5000,0.2326,3.1195,63606.6465,0.6140,73.0956,27.4307,5072514.5000,726.7925,26.6822,3018
224572,2026-07-26 post-FIFO,PSSA,2,-1677.5000,0.5451,2.7342,59989.4844,0.0000,71.8251,34.0623,4172347.5000,773.7951,24.8347,3018
224572,2026-07-26 post-FIFO,PSSB,1,-1692.5000,0.3791,2.1022,44743.6523,0.0000,81.1504,30.8038,3369650.5000,722.5254,24.3231,3018
224572,2026-07-26 post-FIFO,PSSB,2,-1687.5000,0.2459,2.7769,63529.1953,0.6792,77.0284,21.6050,5388098.0000,707.6656,25.7213,3018
224572,2026-07-26 post-FIFO,PSSC,1,-1682.5000,0.6398,2.3286,62412.4102,0.0000,78.0484,30.8816,4857605.0000,733.4074,21.9069,3018
224572,2026-07-26 post-FIFO,PSSC,2,-1682.5000,0.3605,2.4040,65562.0820,0.8750,77.6665,28.4047,6051751.5000,702.7639,23.5716,3018
224572,2026-07-26 post-FIFO,PSSD,1,-1682.5000,0.6736,2.3285,36364.7930,0.0000,76.6911,33.9103,2740252.2500,762.0696,21.1809,3018
224572,2026-07-26 post-FIFO,PSSD,2,-1682.5000,0.2505,2.3542,44702.3633,0.0000,74.3902,29.2663,2602534.2500,736.2424,25.8675,3018
224572,2026-07-26 post-FIFO,LIQA,1,-1707.5000,0.9950,4.3494,63991.5391,0.8325,77.6748,8.8700,4941106.5000,950.7116,40.5265,3018
224572,2026-07-26 post-FIFO,LIQB,1,-1712.5000,0.9924,4.3927,63924.1914,0.8244,78.0963,10.6238,5036140.5000,948.9292,35.7256,3018
224572,2026-07-26 post-FIFO,LIQC,1,-1697.5000,1.0000,4.7368,63890.7539,0.7038,137.7401,11.0029,774972.6875,952.5436,48.1034,3018
224572,2026-07-26 post-FIFO,LIQD,1,-1702.5000,1.0000,4.6353,63878.1250,0.7939,114.5925,8.7943,6422278.7500,811.5652,52.0027,3018
224572,2026-07-26 post-FIFO,WALA,1,-1057.5000,1.0000,5.7785,19612.7275,0.0000,31.3628,16.9904,1874210.8125,1604.6805,13.1186,3018
224572,2026-07-26 post-FIFO,WALA,2,-2032.5000,1.0000,5.2106,816.0121,0.9824,4.2737,2.0102,-14465.5195,1001.8872,3.0865,3018
224572,2026-07-26 post-FIFO,WALA,3,-1082.5000,1.0000,5.5242,15957.2925,0.0000,48.7095,25.6415,1554124.3125,1906.5616,14.2568,3018
224572,2026-07-26 post-FIFO,WALA,4,-1077.5000,1.0000,5.6581,25889.5186,0.0000,101.4444,23.7777,2565522.8750,1586.6393,11.5639,3018
224572,2026-07-26 post-FIFO,WALA,5,-1087.5000,1.0000,5.6594,24875.0107,0.0000,49.9833,24.3512,2374971.8750,1581.0012,11.8668,3018
224572,2026-07-26 post-FIFO,WALA,6,-1077.5000,1.0000,5.6911,20868.8340,0.0000,52.9056,23.7576,2025054.3125,1564.0324,12.0858,3018
224572,2026-07-26 post-FIFO,WALA,7,-1022.5000,0.9841,33.0880,16181.9839,0.0000,52.1616,51.4592,1307207.0000,1634.5352,13.3390,3018
224572,2026-07-26 post-FIFO,WALA,8,-1077.5000,1.0000,5.5975,21399.5225,0.0000,50.5251,26.2754,2120830.2500,1882.1815,14.7223,3018
224572,2026-07-26 post-FIFO,WALB,1,-1057.5000,1.0000,5.7541,22123.6611,0.0000,103.8968,16.8511,2170250.8750,1583.8367,11.3867,3018
224572,2026-07-26 post-FIFO,WALB,2,-1052.5000,1.0000,5.8808,24066.6982,0.0000,48.1406,24.2059,2385164.5000,1574.7029,11.9264,3018
224572,2026-07-26 post-FIFO,WALB,3,-997.5000,0.9877,27.1815,17708.8398,0.0000,60.1276,72.7859,1680777.2500,1645.0395,13.2399,3018
224572,2026-07-26 post-FIFO,WALB,4,-1042.5000,1.0000,5.5120,16244.3442,0.0000,47.8687,24.9358,1609513.4375,1892.2618,12.2187,3018
224572,2026-07-26 post-FIFO,WALB,5,-1052.5000,1.0000,5.6180,16223.2461,0.0000,48.5344,25.1669,1607801.8750,1891.2670,12.2734,3018
224572,2026-07-26 post-FIFO,WALB,6,-982.5000,0.9977,35.5985,20892.5137,0.0000,56.5429,72.2521,2054969.7500,1667.6759,12.7952,3018
224572,2026-07-26 post-FIFO,WALB,7,-1052.5000,1.0000,5.7022,17059.8770,0.0000,53.1338,22.9343,1689492.7500,1575.4951,11.3622,3018
224572,2026-07-26 post-FIFO,WALB,8,-1042.5000,1.0000,5.6284,30686.4316,0.0000,50.1178,24.1393,3041222.7500,1601.6656,11.4195,3018
224572,2026-07-26 post-FIFO,WALC,1,-1072.5000,1.0000,5.6095,23910.9678,0.0000,108.7545,19.3547,2369730.6250,1889.4003,11.6922,3018
224572,2026-07-26 post-FIFO,WALC,2,-1062.5000,1.0000,5.7774,21187.7119,0.0000,83.8564,16.9394,2099838.6250,1923.0600,12.6206,3018
224572,2026-07-26 post-FIFO,WALC,3,-1057.5000,1.0000,5.5548,15711.5908,0.0000,48.8042,25.0644,1556769.9375,1871.6438,12.8950,3018
224572,2026-07-26 post-FIFO,WALC,4,-1052.5000,1.0000,6.2683,22025.9023,0.0000,30.1475,17.8820,2083771.8125,1601.2202,12.4331,3018
224572,2026-07-26 post-FIFO,WALC,5,-1057.5000,1.0000,5.5895,24273.0781,0.0000,50.0118,23.8888,2358637.2500,1588.0756,11.8585,3018
224572,2026-07-26 post-FIFO,WALC,6,-1052.5000,0.9967,5.6342,23838.4014,0.0000,49.6160,24.3167,2341393.7500,1595.0444,11.5915,3018
224572,2026-07-26 post-FIFO,WALC,7,-997.5000,0.9967,12.9006,20960.3857,0.0000,64.4327,80.3959,2052455.1250,1666.9502,12.7117,3018
224572,2026-07-26 post-FIFO,WALC,8,-2047.5000,1.0000,5.2496,736.3625,0.9539,4.3756,2.0718,-14928.7168,998.6226,4.9533,3018
224572,2026-07-26 post-FIFO,WALD,1,-1067.5000,1.0000,5.6535,27796.2246,0.0000,38.6714,16.1195,2754784.6250,1564.0225,11.5414,3018
224572,2026-07-26 post-FIFO,WALD,2,-1727.5000,0.9967,3.8474,476.5654,0.0000,13.7329,15.9447,37416.1602,1283.4863,8.2498,3018
224572,2026-07-26 post-FIFO,WALD,3,-1007.5000,0.9877,6.6599,18560.6113,0.0000,67.7220,80.8745,1831997.3750,1645.0812,12.7744,3018
224572,2026-07-26 post-FIFO,WALD,4,-1077.5000,1.0000,5.6589,21356.8838,0.0000,51.6489,23.8676,2103848.8750,1572.1733,11.4669,3018
224572,2026-07-26 post-FIFO,WALD,5,-1072.5000,1.0000,5.7713,28099.6113,0.0000,35.9827,19.0390,1977760.2500,1524.8441,11.7797,3018
224572,2026-07-26 post-FIFO,WALD,6,-1072.5000,1.0000,5.5819,24798.6016,0.0000,128.5587,19.5129,2457701.0000,1597.3025,10.0722,3018
224572,2026-07-26 post-FIFO,WALD,7,-1057.5000,1.0000,5.6438,23340.4736,0.0000,79.3662,18.1413,2313191.1250,1896.5972,12.2432,3018
224572,2026-07-26 post-FIFO,WALD,8,-1062.5000,1.0000,5.7668,21118.2988,0.0000,99.3110,17.8944,2092959.1875,1900.4353,13.7654,3018
