run,pi_med,PSSA_c_all,PSSA_sig,PSSA_n,PSSA_c_par,PSSA_n_par,PSSA_c_ded,PSSA_n_ded,PSSA_mult,PSSA_frac_found,PSSB_c_all,PSSB_sig,PSSB_n,PSSB_c_par,PSSB_n_par,PSSB_c_ded,PSSB_n_ded,PSSB_mult,PSSB_frac_found,PSSC_c_all,PSSC_sig,PSSC_n,PSSC_c_par,PSSC_n_par,PSSC_c_ded,PSSC_n_ded,PSSC_mult,PSSC_frac_found,PSSD_c_all,PSSD_sig,PSSD_n,PSSD_c_par,PSSD_n_par,PSSD_c_ded,PSSD_n_ded,PSSD_mult,PSSD_frac_found,LIQA_c_all,LIQA_sig,LIQA_n,LIQA_c_par,LIQA_n_par,LIQA_c_ded,LIQA_n_ded,LIQA_mult,LIQA_frac_found,LIQB_c_all,LIQB_sig,LIQB_n,LIQB_c_par,LIQB_n_par,LIQB_c_ded,LIQB_n_ded,LIQB_mult,LIQB_frac_found,LIQC_c_all,LIQC_sig,LIQC_n,LIQC_c_par,LIQC_n_par,LIQC_c_ded,LIQC_n_ded,LIQC_mult,LIQC_frac_found,LIQD_c_all,LIQD_sig,LIQD_n,LIQD_c_par,LIQD_n_par,LIQD_c_ded,LIQD_n_ded,LIQD_mult,LIQD_frac_found
224504,5.81e+12,-1683.11,2.29,47,,12,-1682.31,35,1.05,0.206,-1689.69,1.91,39,,5,-1690.08,34,1.18,0.195,-1680.32,2.42,89,-1675.61,24,-1682.05,65,1.12,0.449,-1610.72,7.46,52,-1609.94,26,-1611.49,26,1.10,0.283,-1707.97,4.31,273,-1705.82,140,-1710.23,133,2.09,0.972,-1710.10,4.27,225,-1707.73,113,-1712.48,112,1.73,0.970,-1695.24,4.41,921,-1692.88,458,-1697.57,463,1.36,0.975,-1701.07,4.21,387,-1699.41,195,-1702.75,192,1.28,0.977
224507,4.19e+12,-1679.27,4.06,95,-1681.64,27,-1678.33,68,1.25,0.293,-1680.09,3.51,34,,10,-1682.56,24,1.04,0.177,-1682.68,2.71,66,,18,-1683.59,48,1.23,0.367,-1610.06,7.11,43,-1610.69,21,-1609.46,22,1.13,0.265,-1707.70,4.22,278,-1705.93,149,-1709.75,129,2.15,0.975,-1709.63,4.95,231,-1707.20,124,-1712.46,107,1.72,0.975,-1694.97,4.57,934,-1692.72,493,-1697.48,441,1.36,0.960,-1700.53,5.00,392,-1698.62,209,-1702.72,183,1.22,0.970
224509,8.42e+12,-1680.40,4.19,99,,11,-1680.14,88,1.15,0.328,-1687.18,1.96,30,,2,-1686.96,28,1.05,0.167,-1682.11,1.95,60,,9,-1682.55,51,1.16,0.357,-1610.48,6.26,47,-1609.64,22,-1611.21,25,1.08,0.309,-1708.12,4.09,256,-1705.64,111,-1710.03,145,2.13,0.962,-1710.29,4.31,215,-1707.77,93,-1712.22,122,1.66,0.968,-1695.33,4.19,880,-1692.59,375,-1697.36,505,1.36,0.976,-1700.68,4.47,368,-1698.31,161,-1702.52,207,1.21,0.981
224511,4.18e+12,-1678.69,4.06,90,,20,-1679.29,70,1.15,0.278,-1680.17,3.18,34,,11,-1684.80,23,1.05,0.179,-1681.72,2.66,64,,17,-1683.38,47,1.17,0.356,-1611.45,7.03,36,-1609.55,21,,15,1.05,0.220,-1708.08,4.24,274,-1706.16,146,-1710.27,128,2.18,0.958,-1709.56,4.15,225,-1707.58,121,-1711.86,104,1.81,0.949,-1695.39,4.69,951,-1693.01,504,-1698.07,447,1.42,0.975,-1700.75,5.28,393,-1698.88,208,-1702.84,185,1.27,0.968
224513,4.22e+12,-1678.44,2.98,88,,9,-1678.05,79,1.17,0.282,,,,,,,,,,-1682.72,2.88,64,,15,-1683.00,49,1.19,0.368,-1610.58,7.87,40,-1608.08,23,,17,1.12,0.253,-1707.94,4.73,262,-1705.30,125,-1710.34,137,2.08,0.953,-1709.95,4.57,224,-1707.65,107,-1712.05,117,1.86,0.982,-1695.20,4.39,887,-1692.40,397,-1697.47,490,1.33,0.973,-1700.96,4.47,388,-1698.92,182,-1702.76,206,1.22,0.990
224515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224517,8.42e+12,-1678.57,3.41,78,,7,-1680.24,71,1.18,0.295,-1689.62,2.81,67,,12,-1690.05,55,1.07,0.356,-1682.15,2.36,90,,13,-1682.30,77,1.10,0.517,-1683.10,1.72,80,,11,-1683.44,69,1.10,0.421,-1707.67,4.24,259,-1704.98,120,-1709.99,139,1.98,0.956,-1710.75,4.59,213,-1707.63,95,-1713.27,118,1.67,0.955,-1695.78,4.45,855,-1692.63,349,-1697.96,506,1.32,0.974,-1701.04,5.02,373,-1698.34,166,-1703.20,207,1.24,0.974
224519,8.31e+12,-1678.21,5.48,87,,14,-1680.69,73,1.21,0.322,-1688.80,2.92,53,,8,-1690.25,45,1.13,0.273,-1681.61,2.81,82,,12,-1681.70,70,1.05,0.461,-1680.94,2.14,75,,7,-1681.29,68,1.17,0.383,-1707.86,4.56,265,-1705.43,130,-1710.19,135,2.21,0.957,-1709.83,4.37,224,-1707.06,110,-1712.50,114,1.73,0.974,-1695.18,4.53,920,-1692.85,450,-1697.40,470,1.37,0.979,-1701.16,5.04,386,-1699.11,189,-1703.14,197,1.27,0.975
224521,8.4e+12,-1679.78,4.47,88,,9,-1680.50,79,1.15,0.341,-1688.74,3.28,57,,7,-1689.04,50,1.15,0.303,-1681.90,3.02,85,,19,-1682.72,66,1.10,0.494,-1682.06,1.90,77,,8,-1682.42,69,1.09,0.410,-1708.22,3.97,252,-1705.46,103,-1710.14,149,2.06,0.973,-1710.69,4.55,206,-1707.45,84,-1712.92,122,1.61,0.954,-1695.52,4.35,861,-1692.54,354,-1697.61,507,1.38,0.977,-1701.33,4.50,361,-1698.76,144,-1703.04,217,1.23,0.981
224523,8.37e+12,-1680.20,4.50,79,,15,-1680.87,64,1.13,0.290,-1687.57,3.66,49,,9,-1689.32,40,1.12,0.247,-1681.12,2.72,81,,14,-1682.65,67,1.14,0.466,-1682.29,1.61,82,,13,-1682.83,69,1.26,0.410,-1707.72,4.28,264,-1705.59,128,-1709.72,136,2.06,0.967,-1709.99,4.96,230,-1707.58,110,-1712.21,120,1.80,0.979,-1695.01,4.23,263,-1692.64,128,-1697.26,135,1.38,0.963,-1700.43,4.68,268,-1698.36,131,-1702.41,137,1.21,0.982
224525,4.16e+12,-1677.52,5.68,61,,18,-1680.14,43,1.19,0.202,-1686.95,3.59,44,,8,-1690.02,36,1.15,0.204,-1682.84,2.41,74,,17,-1682.66,57,1.16,0.385,-1678.37,2.71,68,-1670.74,21,-1681.78,47,1.12,0.315,-1707.18,4.63,314,-1705.30,200,-1710.47,114,2.28,0.991,-1709.47,4.17,254,-1707.81,161,-1712.33,93,1.84,0.984,-1694.58,4.81,1018,-1692.68,614,-1697.46,404,1.41,0.981,-1700.49,5.11,438,-1698.86,276,-1703.26,162,1.29,0.982
224527,4.17e+12,-1678.03,4.10,69,,16,-1679.69,53,1.20,0.240,-1689.96,2.51,51,,6,-1690.25,45,1.10,0.245,-1681.61,2.49,69,,8,-1682.13,61,1.04,0.379,-1681.56,2.27,74,,14,-1683.09,60,1.13,0.356,-1707.48,4.56,292,-1706.04,168,-1709.43,124,2.20,0.973,-1710.15,4.89,238,-1708.06,138,-1713.03,100,1.83,0.960,-1695.01,4.78,969,-1692.87,541,-1697.71,428,1.42,0.971,-1700.37,4.45,414,-1698.69,234,-1702.55,180,1.32,0.979
224529,4.18e+12,-1679.79,5.26,84,-1678.08,25,-1680.52,59,1.12,0.278,-1686.36,3.38,40,,11,-1690.14,29,1.10,0.187,-1681.74,2.45,81,-1680.07,26,-1682.53,55,1.12,0.426,-1682.51,2.40,62,,17,-1683.66,45,1.15,0.290,-1707.11,4.88,300,-1705.26,187,-1710.18,113,2.16,0.952,-1709.17,4.90,250,-1707.22,156,-1712.40,94,1.85,0.973,-1694.67,4.73,1015,-1692.84,623,-1697.57,392,1.44,0.962,-1699.99,4.70,434,-1698.34,270,-1702.71,164,1.28,0.982
224531,8.52e+12,-1679.12,2.53,94,,0,-1679.12,94,1.13,0.439,-1689.42,2.12,71,,0,-1689.42,71,1.11,0.461,-1682.32,2.50,94,,0,-1682.32,94,1.16,0.701,-1682.35,1.99,99,,0,-1682.35,99,1.14,0.651,-1710.22,3.25,201,,0,-1710.22,201,1.97,0.962,-1712.46,3.04,165,,0,-1712.46,165,1.23,0.938,-1697.91,3.33,640,,0,-1697.91,640,1.19,0.982,-1702.82,3.77,287,,0,-1702.82,287,1.08,0.986
224533,8.51e+12,-1679.15,4.13,101,,0,-1679.15,101,1.18,0.476,-1689.39,2.49,55,,0,-1689.39,55,1.07,0.357,-1682.58,2.29,95,,0,-1682.58,95,1.08,0.709,-1680.58,1.92,96,,0,-1680.58,96,1.17,0.640,-1709.58,3.02,204,,0,-1709.58,204,1.94,0.967,-1712.34,3.12,171,,0,-1712.34,171,1.21,0.966,-1697.46,2.85,678,,0,-1697.46,678,1.19,0.985,-1702.52,3.89,290,,0,-1702.52,290,1.12,0.986
224535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224537,4.15e+12,-1677.36,5.63,79,-1671.92,27,-1680.18,52,1.14,0.269,-1688.15,3.73,49,,16,-1689.36,33,1.16,0.233,-1681.77,2.61,67,,12,-1681.99,55,1.05,0.364,-1679.73,2.17,65,,18,-1683.04,47,1.16,0.310,-1707.33,4.21,297,-1705.58,180,-1710.01,117,2.24,0.958,-1709.41,4.65,245,-1707.63,149,-1712.18,96,1.81,0.968,-1694.91,4.42,303,-1692.85,180,-1697.92,123,1.38,0.944,-1699.83,4.77,312,-1697.89,185,-1702.65,127,1.28,0.972
224539,8.47e+12,-1680.40,3.63,74,,17,-1680.11,57,1.15,0.253,-1690.12,2.57,45,,10,-1690.11,35,1.10,0.214,-1681.93,2.77,67,,16,-1682.80,51,1.11,0.364,-1675.75,2.82,65,,17,-1679.19,48,1.14,0.316,-1707.65,4.41,287,-1705.97,158,-1709.71,129,2.09,0.980,-1709.59,4.81,237,-1707.62,137,-1712.29,100,1.80,0.963,-1695.25,4.56,900,-1692.41,408,-1697.61,492,1.33,0.974,-1700.72,4.87,391,-1698.54,200,-1703.00,191,1.24,0.973
224541,8.52e+12,-1679.93,4.00,92,,10,-1680.08,82,1.20,0.377,-1689.29,2.64,56,,2,-1690.38,54,1.23,0.315,-1682.04,2.28,80,,4,-1682.25,76,1.11,0.519,-1681.44,2.26,79,,9,-1682.41,70,1.12,0.459,-1708.95,3.57,239,-1706.52,75,-1710.06,164,1.97,0.956,-1710.66,3.85,204,-1707.23,65,-1712.26,139,1.54,0.976,-1696.06,3.93,815,-1692.84,257,-1697.55,558,1.30,0.980,-1701.80,4.77,342,-1698.41,107,-1703.34,235,1.19,0.974
224543,8.54e+12,-1678.76,4.29,95,,13,-1679.56,82,1.14,0.389,-1688.39,3.91,65,,4,-1688.37,61,1.08,0.365,-1682.32,2.63,82,,9,-1682.56,73,1.08,0.532,-1682.83,2.07,82,,10,-1683.51,72,1.12,0.471,-1708.97,3.97,244,-1706.10,77,-1710.29,167,1.97,0.976,-1710.83,3.53,201,-1708.15,65,-1712.12,136,1.50,0.966,-1696.45,3.80,764,-1692.70,175,-1697.56,589,1.25,0.972,-1701.63,4.60,337,-1698.37,106,-1703.12,231,1.19,0.963
224546,8.55e+12,-1679.52,4.32,103,,5,-1680.07,98,1.16,0.444,-1690.02,2.86,68,,1,-1690.02,67,1.11,0.405,-1682.10,2.12,100,,5,-1682.23,95,1.08,0.667,-1682.53,1.94,87,,4,-1682.69,83,1.11,0.537,-1709.79,3.89,218,-1706.54,40,-1710.52,178,1.93,0.956,-1711.40,3.33,186,-1707.01,32,-1712.31,154,1.48,0.974,-1696.56,3.83,735,-1692.32,128,-1697.45,607,1.27,0.977,-1702.00,4.07,313,-1697.66,53,-1702.89,260,1.19,0.978
224550,8.5e+12,-1679.41,3.32,101,,6,-1679.44,95,1.11,0.451,-1689.02,3.43,52,,2,-1689.14,50,1.08,0.321,-1682.12,2.56,89,,3,-1682.21,86,1.12,0.636,-1682.97,1.69,84,,1,-1682.95,83,1.20,0.532,-1709.53,4.23,215,-1705.28,30,-1710.22,185,2.02,0.956,-1711.67,3.59,177,-1706.87,25,-1712.46,152,1.38,0.947,-1696.93,3.41,723,-1693.21,97,-1697.51,626,1.26,0.977,-1702.31,3.70,312,-1698.09,44,-1703.00,268,1.16,0.994
224552,8.53e+12,-1678.99,3.41,84,,8,-1679.30,76,1.17,0.365,-1690.47,3.13,60,,2,-1690.39,58,1.15,0.366,-1682.17,2.21,85,,5,-1682.25,80,1.08,0.599,-1680.71,2.34,90,,5,-1681.46,85,1.17,0.556,-1709.26,3.74,220,-1704.66,43,-1710.38,177,2.11,0.952,-1711.25,3.54,184,-1706.90,36,-1712.30,148,1.46,0.958,-1696.65,3.87,396,-1692.93,74,-1697.50,322,1.30,0.964,-1701.93,3.78,309,-1698.88,60,-1702.67,249,1.17,0.963
224554,8.52e+12,-1679.54,3.36,94,,0,-1679.54,94,1.17,0.412,-1689.64,2.95,55,,1,-1689.78,54,1.14,0.335,-1682.46,2.19,100,,4,-1682.42,96,1.12,0.704,-1682.47,1.75,84,,2,-1682.66,82,1.08,0.532,-1709.34,4.17,217,-1705.50,34,-1710.06,183,1.97,0.960,-1711.35,3.49,181,-1707.56,27,-1712.02,154,1.42,0.958,-1696.70,3.73,742,-1692.76,130,-1697.54,612,1.26,0.980,-1702.15,3.73,309,-1698.71,45,-1702.74,264,1.15,0.978
224556,8.51e+12,-1679.50,4.27,99,,4,-1680.07,95,1.15,0.427,-1689.67,3.66,58,,3,-1689.59,55,1.14,0.349,-1681.94,2.32,89,,4,-1682.17,85,1.08,0.627,-1683.01,1.90,84,,1,-1683.03,83,1.12,0.519,-1709.28,4.32,228,-1705.31,45,-1710.25,183,2.10,0.979,-1711.18,3.70,187,-1707.46,39,-1712.17,148,1.48,0.969,-1696.36,3.65,756,-1692.29,162,-1697.48,594,1.33,0.974,-1702.00,4.29,320,-1698.72,64,-1702.82,256,1.18,0.982
224558,8.53e+12,-1680.14,4.49,88,,10,-1679.78,78,1.12,0.373,-1689.73,1.92,57,,5,-1690.04,52,1.11,0.335,-1682.62,2.28,87,,4,-1682.84,83,1.16,0.596,-1681.90,1.90,82,,6,-1682.16,76,1.16,0.500,-1708.86,4.20,223,-1704.58,53,-1710.20,170,2.01,0.953,-1711.01,3.29,190,-1707.86,43,-1711.94,147,1.50,0.974,-1696.31,3.99,763,-1692.57,170,-1697.39,593,1.28,0.983,-1701.41,4.22,322,-1698.34,73,-1702.31,249,1.16,0.982
224561,8.49e+12,-1680.04,3.56,94,,13,-1680.08,81,1.14,0.359,-1690.57,2.97,54,,7,-1690.74,47,1.15,0.290,-1682.35,2.39,79,,8,-1682.70,71,1.06,0.488,-1682.85,1.73,71,,8,-1683.21,63,1.08,0.394,-1707.98,3.94,253,-1706.19,106,-1709.27,147,2.10,0.962,-1710.27,3.60,211,-1707.49,87,-1712.21,124,1.62,0.968,-1695.33,4.15,855,-1692.37,348,-1697.36,507,1.32,0.976,-1701.07,4.74,362,-1698.77,151,-1702.72,211,1.27,0.981
224564,8.48e+12,-1680.25,4.96,87,,11,-1680.99,76,1.13,0.330,-1690.72,2.00,51,,4,-1690.74,47,1.12,0.271,-1682.01,2.73,80,,10,-1682.51,70,1.11,0.494,-1682.99,1.73,73,,10,-1683.39,63,1.10,0.401,-1708.15,4.27,255,-1706.00,111,-1709.82,144,2.15,0.959,-1709.83,4.03,215,-1707.06,92,-1711.91,123,1.61,0.977,-1695.48,4.56,865,-1692.71,377,-1697.62,488,1.37,0.972,-1700.70,4.36,368,-1697.84,160,-1702.90,208,1.20,0.979
224566,8.45e+12,-1678.02,3.82,90,,14,-1679.78,76,1.17,0.346,-1690.01,2.53,57,,4,-1690.00,53,1.10,0.310,-1682.31,1.88,77,,7,-1682.44,70,1.10,0.494,-1680.80,1.80,75,,11,-1681.91,64,1.16,0.417,-1708.48,4.37,251,-1706.13,107,-1710.23,144,2.06,0.958,-1709.87,4.44,206,-1706.59,85,-1712.17,121,1.67,0.949,-1695.59,4.65,858,-1692.64,357,-1697.69,501,1.35,0.977,-1701.46,4.89,358,-1698.76,147,-1703.33,211,1.28,0.970
224568,8.45e+12,-1679.36,3.79,92,,13,-1679.55,79,1.19,0.357,-1690.14,2.11,61,,6,-1690.20,55,1.10,0.335,-1682.40,3.36,76,,9,-1682.66,67,1.11,0.487,-1682.77,2.47,78,,10,-1683.33,68,1.12,0.438,-1707.85,3.61,253,-1705.25,106,-1709.72,147,2.23,0.966,-1710.07,4.35,212,-1706.94,87,-1712.26,125,1.59,0.972,-1695.31,4.05,864,-1692.57,356,-1697.23,508,1.33,0.983,-1700.52,4.66,366,-1697.49,150,-1702.62,216,1.22,0.989
224570,8.47e+12,-1680.69,5.27,83,,15,-1680.21,68,1.12,0.317,-1689.80,4.57,50,,5,-1690.21,45,1.06,0.266,-1682.49,3.19,77,,15,-1682.86,62,1.16,0.481,-1682.33,1.57,72,,9,-1682.33,63,1.17,0.391,-1708.14,4.17,259,-1705.66,116,-1710.14,143,2.29,0.970,-1710.48,4.81,211,-1707.39,94,-1712.95,117,1.71,0.955,-1695.45,4.43,863,-1692.60,379,-1697.67,484,1.35,0.966,-1701.22,4.79,363,-1698.94,162,-1703.06,201,1.26,0.960
224572,8.48e+12,-1679.49,4.01,85,,14,-1680.40,71,1.17,0.329,-1690.64,1.91,52,,7,-1690.69,45,1.06,0.286,-1682.14,2.58,76,,8,-1682.52,68,1.10,0.487,-1682.68,1.80,69,,11,-1683.12,58,1.17,0.383,-1707.91,3.96,250,-1705.32,105,-1709.78,145,2.11,0.962,-1710.19,4.39,202,-1707.16,83,-1712.31,119,1.61,0.940,-1695.53,4.43,853,-1692.63,359,-1697.64,494,1.32,0.973,-1701.43,4.07,358,-1699.26,148,-1702.97,210,1.23,0.975
224575,8.44e+12,-1679.21,4.94,87,,17,-1680.41,70,1.13,0.340,-1689.08,2.56,49,,5,-1690.64,44,1.11,0.269,-1682.51,2.50,75,,10,-1682.76,65,1.12,0.481,-1681.75,2.60,80,,13,-1682.45,67,1.20,0.455,-1708.56,4.34,254,-1706.06,106,-1710.35,148,2.12,0.977,-1710.12,4.52,206,-1707.20,86,-1712.22,120,1.67,0.954,-1695.24,4.37,295,-1692.29,122,-1697.33,173,1.35,0.987,-1701.15,4.75,294,-1698.64,123,-1702.96,171,1.26,0.983
224577,6.43e+12,-1679.32,3.89,79,,4,-1680.31,75,1.10,0.309,-1689.45,2.26,48,,6,-1689.75,42,1.18,0.264,-1681.69,2.65,75,,11,-1682.23,64,1.14,0.481,-1682.66,1.53,71,,10,-1683.05,61,1.10,0.399,-1708.69,4.62,249,-1706.11,104,-1710.54,145,2.21,0.958,-1710.33,4.03,211,-1707.97,87,-1711.99,124,1.63,0.972,-1695.55,4.30,855,-1692.74,350,-1697.50,505,1.36,0.981,-1700.95,4.84,362,-1698.55,150,-1702.65,212,1.20,0.981
224579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224581,4.2e+12,-1680.63,5.20,81,,15,-1680.42,66,1.16,0.300,-1688.87,1.96,48,,5,-1690.30,43,1.08,0.253,-1681.98,2.10,76,,14,-1682.26,62,1.14,0.463,-1680.45,2.43,74,,9,-1682.36,65,1.15,0.398,-1707.89,3.95,267,-1706.15,136,-1709.70,131,2.19,0.967,-1709.61,3.72,216,-1707.64,108,-1711.58,108,1.76,0.952,-1694.55,5.13,652,-1691.85,339,-1697.47,313,1.36,0.976,-1700.72,4.83,382,-1698.31,190,-1703.10,192,1.27,0.979
224583,4.21e+12,-1679.19,6.11,78,,18,-1679.34,60,1.11,0.291,-1687.23,3.04,45,,10,-1690.15,35,1.04,0.232,-1681.50,2.24,79,-1678.96,21,-1682.41,58,1.16,0.470,-1680.35,2.18,69,,14,-1681.85,55,1.14,0.363,-1707.92,4.43,268,-1706.11,147,-1710.11,121,2.20,0.957,-1709.85,4.49,227,-1707.52,125,-1712.71,102,1.83,0.983,-1694.90,4.60,931,-1692.67,508,-1697.59,423,1.40,0.970,-1700.38,4.97,393,-1698.36,215,-1702.81,178,1.24,0.978
224585,8.38e+12,-1678.56,5.66,97,-1669.44,21,-1681.08,76,1.16,0.359,-1688.93,2.64,54,,13,-1690.24,41,1.15,0.278,-1682.13,2.38,77,,16,-1682.83,61,1.09,0.448,-1680.92,2.26,67,,12,-1681.25,55,1.14,0.353,-1707.35,3.93,262,-1705.38,134,-1709.42,128,2.18,0.967,-1710.06,4.02,218,-1708.10,111,-1712.10,107,1.77,0.969,-1695.17,4.52,883,-1692.61,435,-1697.67,448,1.38,0.968,-1700.61,4.93,379,-1698.20,190,-1703.04,189,1.21,0.982
224588,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224590,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224592,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224594,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224596,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
