run,pi_med,PSSA_c_all,PSSA_sig,PSSA_n,PSSA_c_par,PSSA_n_par,PSSA_c_ded,PSSA_n_ded,PSSA_mult,PSSA_frac_found,PSSB_c_all,PSSB_sig,PSSB_n,PSSB_c_par,PSSB_n_par,PSSB_c_ded,PSSB_n_ded,PSSB_mult,PSSB_frac_found,PSSC_c_all,PSSC_sig,PSSC_n,PSSC_c_par,PSSC_n_par,PSSC_c_ded,PSSC_n_ded,PSSC_mult,PSSC_frac_found,PSSD_c_all,PSSD_sig,PSSD_n,PSSD_c_par,PSSD_n_par,PSSD_c_ded,PSSD_n_ded,PSSD_mult,PSSD_frac_found,LIQA_c_all,LIQA_sig,LIQA_n,LIQA_c_par,LIQA_n_par,LIQA_c_ded,LIQA_n_ded,LIQA_mult,LIQA_frac_found,LIQB_c_all,LIQB_sig,LIQB_n,LIQB_c_par,LIQB_n_par,LIQB_c_ded,LIQB_n_ded,LIQB_mult,LIQB_frac_found,LIQC_c_all,LIQC_sig,LIQC_n,LIQC_c_par,LIQC_n_par,LIQC_c_ded,LIQC_n_ded,LIQC_mult,LIQC_frac_found,LIQD_c_all,LIQD_sig,LIQD_n,LIQD_c_par,LIQD_n_par,LIQD_c_ded,LIQD_n_ded,LIQD_mult,LIQD_frac_found
224369,4.16e+12,-1646.18,15.90,304,-1645.71,192,-1646.98,112,1.34,0.462,-1652.23,18.89,120,-1652.99,79,-1650.76,41,1.44,0.173,-1645.71,18.56,192,-1644.13,118,-1648.23,74,1.34,0.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224371,8.32e+12,-1642.80,16.30,278,-1643.21,154,-1642.29,124,1.21,0.436,-1648.96,18.82,110,-1650.49,61,-1647.05,49,1.25,0.163,-1646.44,18.22,194,-1644.27,104,-1648.95,90,1.32,0.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224373,4.19e+12,-1646.54,17.71,282,-1646.24,166,-1646.97,116,1.33,0.449,-1650.35,19.23,107,-1649.93,61,-1650.91,46,1.33,0.162,-1649.76,18.60,198,-1645.51,100,-1654.09,98,1.37,0.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224375,4.16e+12,-1648.26,15.00,297,-1648.52,195,-1647.75,102,1.37,0.453,-1651.05,17.95,125,-1650.44,82,-1652.22,43,1.35,0.183,-1647.84,19.48,222,-1645.09,134,-1652.04,88,1.34,0.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224377,8.49e+12,-1646.93,17.66,239,-1646.16,124,-1647.75,115,1.29,0.392,-1650.44,20.30,109,-1650.32,59,-1650.59,50,1.35,0.170,-1648.61,15.19,194,-1647.07,83,-1649.77,111,1.32,0.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224382,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224401,4.18e+12,-1698.87,4.66,90,,9,-1699.45,81,1.01,0.446,-1659.07,19.68,125,-1647.04,50,-1667.08,75,1.48,0.541,-1664.23,32.17,192,-1640.03,70,-1678.11,122,1.64,0.676,-1688.80,5.12,195,-1667.15,38,-1694.04,157,1.23,0.554,-1706.86,5.27,114,-1706.68,64,-1707.10,50,2.55,0.695,,,,,,,,,,,,,,,,,,,-1706.59,6.25,111,-1702.94,56,-1710.31,55,2.04,0.776
224403,4.18e+12,-1698.54,4.96,74,,12,-1699.53,62,1.02,0.336,-1657.97,14.00,139,-1647.63,82,-1672.85,57,1.45,0.560,-1662.90,35.01,184,-1645.50,95,-1681.47,89,1.53,0.597,-1683.29,5.26,187,-1661.67,57,-1692.77,130,1.25,0.487,-1706.99,5.63,139,-1706.51,98,-1708.14,41,3.15,0.785,,,,,,,,,,,,,,,,,,,-1705.83,6.14,121,-1702.97,79,-1711.19,42,2.12,0.807
224405,4.19e+12,-1696.84,4.93,92,-1690.49,25,-1699.21,67,1.03,0.422,-1657.89,17.02,134,-1649.20,71,-1667.68,63,1.48,0.270,-1666.89,41.28,195,-1649.07,100,-1685.65,95,1.61,0.637,-1685.10,5.16,186,-1665.33,52,-1692.77,134,1.22,0.487,-1707.25,5.03,139,-1706.80,95,-1708.23,44,2.81,0.785,,,,,,,,,,,,,,,,,,,-1706.36,6.09,124,-1703.97,82,-1711.02,42,2.24,0.832
