run,PSSA,PSSA_sig,PSSA_n,PSSB,PSSB_sig,PSSB_n,PSSC,PSSC_sig,PSSC_n,PSSD,PSSD_sig,PSSD_n,LIQA,LIQA_sig,LIQA_n,LIQB,LIQB_sig,LIQB_n,LIQC,LIQC_sig,LIQC_n,LIQD,LIQD_sig,LIQD_n
224516,-1679.61,5.0,80,-1688.40,3.3,53,-1681.56,3.4,74,-1681.40,2.1,76,-1707.73,4.4,281,-1709.46,4.8,231,-1694.64,4.9,979,-1700.32,4.8,402
224519,-1678.21,5.5,87,-1688.80,2.9,53,-1681.61,2.8,82,-1680.94,2.1,75,-1707.86,4.6,265,-1709.83,4.4,224,-1695.18,4.5,920,-1701.16,5.0,386
224522,-1678.87,3.0,75,-1689.08,2.7,47,-1682.65,2.4,72,-1681.52,2.5,82,-1707.77,4.5,268,-1709.66,4.2,219,-1694.98,4.4,423,-1700.71,4.4,379
224525,-1677.52,5.7,61,-1686.95,3.6,44,-1682.84,2.4,74,-1678.37,2.7,68,-1707.18,4.6,314,-1709.47,4.2,254,-1694.58,4.8,1018,-1700.49,5.1,438
224528,-1680.04,5.1,83,-1687.21,2.2,42,-1681.76,2.7,77,-1680.78,2.5,72,-1707.58,4.3,291,-1709.53,4.5,237,-1695.07,5.3,973,-1700.78,4.7,418
224531,-1679.12,2.5,94,-1689.42,2.1,71,-1682.32,2.5,94,-1682.35,2.0,99,-1710.22,3.2,201,-1712.46,3.0,165,-1697.91,3.3,640,-1702.82,3.8,287
224534,-1678.68,4.9,70,-1689.93,4.0,46,-1681.81,3.5,73,-1681.82,2.5,72,-1707.46,4.8,283,-1710.22,4.4,234,-1694.67,4.8,983,-1700.46,4.9,414
224537,-1677.36,5.6,79,-1688.15,3.7,49,-1681.77,2.6,67,-1679.73,2.2,65,-1707.33,4.2,297,-1709.41,4.7,245,-1694.91,4.4,303,-1699.83,4.8,312
224540,-1680.60,4.2,88,-1689.88,2.5,59,-1682.17,1.8,77,-1681.66,1.6,80,-1708.69,3.6,243,-1710.67,4.4,203,-1695.99,3.6,813,-1701.17,4.3,348
224543,-1678.76,4.3,95,-1688.39,3.9,65,-1682.32,2.6,82,-1682.83,2.1,82,-1708.97,4.0,244,-1710.83,3.5,201,-1696.45,3.8,764,-1701.63,4.6,337
224546,-1679.52,4.3,103,-1690.02,2.9,68,-1682.10,2.1,100,-1682.53,1.9,87,-1709.79,3.9,218,-1711.40,3.3,186,-1696.56,3.8,735,-1702.00,4.1,313
