channel_id,pad_cx,pad_cy,n_tag,n_hit,eff
447,144.3471,56.383,0,0,
446,538.9023,208.4196,0,0,
445,357.7356,138.249,45,19,0.4222222222222222
444,176.5673,68.1079,0,0,
443,389.9576,149.9791,1967,1815,0.9227249618708694
442,422.179,161.709,6337,6052,0.9550260375572037
441,208.787,79.8333,16,6,0.375
440,454.3997,173.4382,2534,2413,0.9522494080505131
439,486.6205,185.1675,465,406,0.8731182795698925
438,241.0062,91.5587,20,7,0.35
437,518.8405,196.8959,49,30,0.6122448979591837
436,551.0603,208.6245,0,0,
435,273.2253,103.284,24,5,0.20833333333333334
434,305.4442,115.01,28,10,0.35714285714285715
433,337.6629,126.7359,39,12,0.3076923076923077
432,369.8815,138.4616,62,31,0.5
431,402.1,150.1879,4784,4511,0.9429347826086957
430,434.3186,161.9136,3624,3447,0.9511589403973509
429,466.5371,173.6401,582,514,0.8831615120274914
428,498.7553,185.3661,74,54,0.7297297297297297
427,530.9736,197.0923,2,2,
426,253.1154,91.7747,18,3,0.16666666666666666
425,285.3339,103.4937,28,8,0.2857142857142857
424,317.5523,115.2142,24,7,0.2916666666666667
423,349.7707,126.9359,37,15,0.40540540540540543
422,381.9891,138.6582,40,20,0.5
421,414.2072,150.3811,3460,3273,0.9459537572254335
420,446.4257,162.1048,895,844,0.9430167597765363
419,478.6436,173.8288,65,49,0.7538461538461538
418,510.862,185.5531,43,22,0.5116279069767442
417,543.08,197.2778,0,0,
416,220.8966,80.0583,15,6,0.4
415,188.6776,68.3451,0,0,
414,156.4584,56.6379,0,0,
413,124.238,44.9423,0,0,
412,426.2817,150.5609,1106,1029,0.930379746835443
411,458.5021,162.2831,93,59,0.6344086021505376
410,490.7221,174.0057,55,23,0.41818181818181815
409,522.9418,185.7294,29,5,0.1724137931034483
408,555.1616,197.4525,0,0,
407,394.0613,138.8397,599,550,0.9181969949916527
406,361.84,127.1193,49,17,0.3469387755102041
405,329.6184,115.4001,29,10,0.3448275862068966
404,297.3957,103.6827,24,4,0.16666666666666666
403,265.1722,91.9671,9,2,0.2222222222222222
