channel_id,pad_cx,pad_cy,n_tag,n_hit,eff
518,525.0057,241.2954,0,0,
517,452.9108,206.5899,0,0,
516,380.8094,171.8864,2050,1255,0.6121951219512195
515,433.0117,195.1277,3735,3397,0.9095046854082999
514,505.1138,229.8337,0,0,
513,485.2135,218.3691,0,0,
512,537.4159,241.6109,0,0,
639,510.3199,294.5593,0,0,
638,470.731,271.7025,0,0,
637,450.9364,260.2742,5,3,0.6
636,431.1417,248.8462,10630,9478,0.8916274694261525
635,411.3474,237.4175,5112,2791,0.5459702660406885
634,503.3701,283.6772,0,0,
633,351.9643,203.1326,337,210,0.6231454005934718
632,483.5741,272.2493,0,0,
631,312.3758,180.2762,57,30,0.5263157894736842
630,463.7775,260.8215,0,0,
629,443.9808,249.3942,7399,6019,0.8134883092309771
628,272.7878,157.4203,8,2,0.25
627,424.1838,237.9667,10374,8790,0.8473105841526894
626,252.9942,145.992,0,0,
625,404.3868,226.5392,10430,7802,0.7480345158197507
624,384.5895,215.1119,3671,2687,0.7319531462816671
623,213.4071,123.1366,0,0,
622,364.7919,203.6852,2221,1023,0.4606033318325079
621,516.1648,284.1931,0,0,
620,344.9941,192.2579,134,79,0.5895522388059702
619,496.3645,272.7647,0,0,
618,325.1958,180.8313,70,41,0.5857142857142857
617,476.5642,261.3363,0,0,
616,173.8214,100.2819,0,0,
615,456.7627,249.9082,0,0,
614,305.3971,169.4047,66,27,0.4090909090909091
613,436.9609,238.4796,8960,7304,0.8151785714285714
612,285.5979,157.9788,27,6,0.2222222222222222
611,417.1586,227.0515,10539,9100,0.8634595312648259
610,265.7979,146.5533,0,0,
609,397.3555,215.6236,9248,6616,0.7153979238754326
608,245.9971,135.1281,0,0,
607,377.5512,204.1957,7071,4360,0.6166030264460473
606,226.1952,123.7039,0,0,
605,509.1055,273.251,0,0,
604,357.7461,192.7676,276,186,0.6739130434782609
603,489.2988,261.821,0,0,
602,337.94,181.34,116,83,0.7155172413793104
601,469.4907,250.391,0,0,
600,206.3922,112.2805,0,0,
599,449.6822,238.9607,26,21,0.8076923076923077
598,318.1322,169.9123,64,29,0.453125
597,186.5871,100.8585,0,0,
596,429.8721,227.5304,10156,8706,0.8572272548247342
595,298.3225,158.485,34,13,0.38235294117647056
594,166.7797,89.4384,0,0,
593,410.0603,216.0998,9129,7471,0.8183809836783875
592,521.7991,273.7103,0,0,
591,278.5107,147.0578,0,0,
590,390.247,204.669,9176,6569,0.7158892763731474
589,501.9848,262.2779,0,0,
588,370.4316,193.2386,5626,3558,0.6324209029505866
587,482.1687,250.8449,0,0,
586,258.6967,135.6311,0,0,
585,146.9687,78.0211,0,0,
584,462.351,239.4116,0,0,
583,350.6137,181.8076,142,85,0.5985915492957746
582,238.8788,124.2051,0,0,
581,442.5308,227.9782,2116,1806,0.8534971644612477
580,127.1522,66.6083,0,0,
579,330.7931,170.3765,106,53,0.5
578,422.7087,216.5437,9503,8640,0.9091865726612649
577,219.057,112.7797,0,0,
576,514.6246,262.7091,0,0,
703,398.9561,257.6972,7555,6421,0.8499007279947055
702,187.4608,121.753,0,0,
701,313.0162,201.1795,94,46,0.48936170212765956
700,418.7692,269.1467,6077,5584,0.9188744446272832
699,207.2679,133.2115,0,0,
698,438.5809,280.594,82,67,0.8170731707317073
697,332.8259,212.6284,141,99,0.7021276595744681
696,227.073,144.6646,0,0,
695,458.3912,292.0399,0,0,
694,352.6339,224.0761,3483,1834,0.5265575653172553
693,246.8768,156.1138,18,3,0.16666666666666666
692,478.2004,303.4844,0,0,
691,372.4408,235.5208,6707,3641,0.5428656627404205
690,498.0082,314.9279,0,0,
689,121.3291,76.7049,0,0,
688,392.2463,246.9646,7637,6129,0.8025402645017677
687,266.6793,167.5601,65,16,0.24615384615384617
686,141.1204,88.1594,0,0,
685,412.0511,258.4066,9202,8150,0.8856770267333188
684,286.4811,179.004,89,21,0.23595505617977527
683,431.8549,269.8476,6102,4764,0.7807276302851525
682,160.9131,99.6075,0,0,
681,306.2821,190.4455,123,39,0.3170731707317073
680,451.6582,281.287,0,0,
679,471.4606,292.7258,0,0,
678,326.0822,201.8859,123,80,0.6504065040650406
677,491.2624,304.1637,0,0,
676,180.7064,111.0511,0,0,
675,345.8821,213.3244,274,173,0.6313868613138686
674,200.5005,122.4917,0,0,
673,365.6814,224.762,6735,3800,0.5642167780252413
672,220.2949,133.9297,0,0,
671,385.4802,236.1986,8142,5366,0.6590518300171948
670,405.2788,247.6348,9167,7629,0.8322242827533545
669,240.0895,145.3662,0,0,
668,425.0767,259.07,9390,8518,0.9071352502662406
667,259.884,156.8017,10,1,0.1
666,444.8746,270.5046,371,325,0.876010781671159
665,279.6786,168.2358,91,21,0.23076923076923078
664,464.6725,281.9385,0,0,
663,484.4697,293.3725,0,0,
662,299.4733,179.6695,64,29,0.453125
661,504.2669,304.8057,0,0,
660,104.5448,60.2851,0,0,
659,319.2679,191.1022,115,65,0.5652173913043478
658,114.4485,66.0033,0,0,
657,339.0627,202.5348,155,100,0.6451612903225806
656,358.8578,213.9666,5212,2625,0.5036454336147352
655,134.2382,77.4287,0,0,
654,378.6528,225.3981,7973,4630,0.580709895898658
653,398.4475,236.8299,10247,7981,0.7788621059822387
652,418.2423,248.2607,11037,10128,0.9176406632237021
651,154.0294,88.855,0,0,
650,438.0372,259.6917,9573,8088,0.8448762143528674
649,457.832,271.122,0,0,
648,477.6269,282.5526,0,0,
647,497.4219,293.9826,0,0,
646,193.614,111.7091,0,0,
645,233.2005,134.5644,0,0,
644,292.5818,168.8482,88,26,0.29545454545454547
643,332.1699,191.7046,151,108,0.7152317880794702
642,371.7587,214.5609,8687,4716,0.5428801657649361
641,391.5529,225.9893,9985,7253,0.7263895843765649
640,490.5252,283.131,0,0,
767,478.0239,344.5066,0,0,
766,431.7949,310.9189,0,0,
765,451.6731,322.4204,0,0,
764,385.5659,277.3313,1402,1182,0.8430813124108416
763,471.5448,333.9159,0,0,
762,405.4419,288.833,0,0,
761,339.3373,243.7432,787,470,0.5972045743329097
760,425.3107,300.3283,0,0,
759,359.2101,255.2458,1927,1239,0.6429683445770628
758,293.1089,210.1559,38,13,0.34210526315789475
757,379.0752,266.7409,2800,2251,0.8039285714285714
756,445.1734,311.8177,0,0,
755,312.9774,221.659,63,31,0.49206349206349204
754,246.881,176.5683,73,2,0.0273972602739726
753,398.9342,278.2293,56,48,0.8571428571428571
752,465.0312,323.302,0,0,
751,332.8381,233.1534,86,46,0.5348837209302325
750,266.7438,188.0722,74,16,0.21621621621621623
749,200.6533,142.9805,0,0,
748,484.8841,334.782,0,0,
747,418.7875,289.7122,0,0,
746,352.6922,244.6405,1738,1035,0.595512082853855
745,286.5984,199.5664,55,15,0.2727272727272727
744,220.5083,154.4864,0,0,
743,438.6365,301.1902,0,0,
742,154.4273,109.3933,0,0,
741,372.5406,256.1216,2702,1809,0.6695040710584752
740,306.4464,211.0518,65,28,0.4307692307692308
739,458.4807,312.6643,0,0,
738,240.3549,165.9796,42,2,0.047619047619047616
737,392.3838,267.5979,3487,3019,0.86578720963579
736,326.2882,222.5308,69,47,0.6811594202898551
735,478.3213,324.1347,0,0,
734,174.2698,120.9017,0,0,
733,412.2231,279.0691,68,59,0.8676470588235294
732,260.1943,177.4633,37,7,0.1891891891891892
731,108.2044,75.8071,0,0,
730,346.1252,234.004,1027,530,0.5160662122687439
729,432.0584,290.5371,0,0,
728,194.1044,132.3939,0,0,
727,280.0282,188.9392,48,11,0.22916666666666666
726,365.9583,245.4727,3583,2304,0.6430365615406084
725,451.8905,302.0012,0,0,
724,299.8576,200.4088,71,29,0.4084507042253521
723,385.7876,256.9371,5051,3935,0.7790536527420313
722,471.7199,313.4622,0,0,
721,213.9324,143.8748,0,0,
720,128.0242,87.3208,0,0,
719,491.5465,324.9212,0,0,
718,405.6136,268.3982,4484,4123,0.9194915254237288
717,319.6827,211.8738,79,48,0.6075949367088608
716,233.7557,155.3466,0,0,
715,425.4372,279.8563,90,80,0.8888888888888888
714,147.8398,98.8111,0,0,
713,339.505,223.334,146,98,0.6712328767123288
712,445.2584,291.3116,0,0,
711,253.5749,166.8115,42,7,0.16666666666666666
710,359.3243,234.7913,3791,2044,0.5391717225006595
709,465.0774,302.7647,0,0,
708,273.3913,178.2714,48,6,0.125
707,379.1413,246.2453,5922,4136,0.6984126984126984
706,484.8946,314.2159,0,0,
705,167.6517,110.2871,0,0,
704,293.205,189.7268,65,19,0.2923076923076923
831,397.4839,318.3122,0,0,
830,147.3473,118.758,0,0,
829,371.2104,296.2709,0,0,
828,246.1312,196.5036,21,2,0.09523809523809523
827,121.0825,96.7166,0,0,
826,344.9356,274.2293,523,372,0.7112810707456979
825,443.7461,351.9483,0,0,
824,219.8564,174.463,13,3,0.23076923076923078
823,318.6588,252.1869,98,43,0.4387755102040816
822,417.4688,329.905,0,0,
821,193.5786,152.4219,0,0,
820,292.3797,230.1444,31,14,0.45161290322580644
819,391.1896,307.8609,0,0,
818,364.9078,285.8163,0,0,
817,463.7216,363.5298,0,0,
816,266.0973,208.1007,32,10,0.3125
815,167.2966,130.3805,0,0,
814,437.4387,341.4835,0,0,
813,338.6237,263.7703,1016,711,0.6998031496062992
812,239.8113,186.0563,30,6,0.2
811,411.1528,319.4364,0,0,
810,141.0074,108.3379,0,0,
809,312.3358,241.7235,126,64,0.5079365079365079
808,384.8645,297.3876,0,0,
807,213.5192,164.0109,5,2,0.4
806,457.395,353.0496,0,0,
805,286.0434,219.6755,18,9,0.5
804,358.5721,275.3375,1290,867,0.672093023255814
803,431.1032,330.9984,0,0,
802,187.2194,141.963,0,0,
801,259.7452,197.6252,19,1,0.05263157894736842
800,332.2753,253.2859,674,453,0.672106824925816
799,404.8073,308.9457,0,0,
798,114.7057,86.2957,0,0,
797,305.9728,231.232,49,25,0.5102040816326531
796,378.5068,286.891,0,0,
795,451.0412,342.5494,0,0,
794,233.4391,175.573,17,0,0.0
793,160.9069,119.9141,0,0,
792,97.5305,71.0754,0,0,
791,424.7378,320.4921,0,0,
790,352.2006,264.8338,1668,1057,0.6336930455635491
789,279.6622,209.1755,44,12,0.2727272727272727
788,470.969,354.0906,0,0,
787,398.4293,298.432,0,0,
786,207.1214,153.518,0,0,
785,325.8872,242.7739,83,51,0.6144578313253012
784,444.658,332.0282,0,0,
783,134.5739,97.8619,0,0,
782,253.3418,187.1156,29,3,0.10344827586206896
781,372.114,276.3692,1398,1078,0.771101573676681
780,299.565,220.7103,55,22,0.4
779,418.341,309.9631,0,0,
778,180.7873,131.4582,0,0,
777,464.5685,343.5558,0,0,
776,345.7904,254.3029,1628,1158,0.7113022113022113
775,227.0074,165.0512,15,4,0.26666666666666666
774,392.0166,287.8943,0,0,
773,273.2309,198.6421,50,16,0.32
772,438.2431,321.4852,0,0,
771,319.4562,232.2321,59,37,0.6271186440677966
770,365.6826,265.8215,2442,1798,0.7362817362817363
769,411.9098,299.4105,0,0,
768,458.1373,332.9993,0,0,
895,440.8571,390.9432,0,0,
894,408.4578,358.5694,0,0,
893,434.7239,380.6173,0,0,
892,382.192,336.5199,0,0,
891,355.9255,314.469,0,0,
890,329.659,292.4159,0,0,
889,297.256,260.044,41,15,0.36585365853658536
888,323.5187,282.0929,0,0,
887,349.7814,304.1407,0,0,
886,376.0448,326.1868,0,0,
885,402.3085,348.2318,0,0,
884,428.5718,370.2762,0,0,
883,270.9936,237.9928,25,9,0.36
882,244.732,215.9392,18,3,0.16666666666666666
881,218.4712,193.8816,17,2,0.11764705882352941
880,291.0919,249.7057,37,15,0.40540540540540543
879,317.3526,271.7499,33,20,0.6060606060606061
878,343.6137,293.7933,0,0,
877,369.8754,315.8358,0,0,
876,396.1375,337.8775,0,0,
875,422.4,359.9191,0,0,
874,448.6628,381.9599,0,0,
873,264.832,227.6609,22,3,0.13636363636363635
872,238.5729,205.6143,29,3,0.10344827586206896
871,212.3156,183.5654,10,3,0.3
870,186.0607,161.5136,0,0,
869,159.8089,139.4574,0,0,
868,133.5623,117.3941,0,0,
867,107.3262,95.3177,0,0,
866,416.2069,349.5448,0,0,
865,442.4699,371.5842,0,0,
864,389.9444,327.5051,0,0,
863,363.6818,305.4656,0,0,
