channel_id,pad_cx,pad_cy,n_tag,n_hit,eff
575,310.9691,158.9452,31,6,0.1935483870967742
574,402.8835,205.1091,8160,7681,0.9412990196078431
573,494.7985,251.2725,976,869,0.8903688524590164
572,291.1408,147.5139,24,7,0.2916666666666667
571,383.0551,193.6743,7542,6702,0.888623707239459
570,474.9701,239.835,3493,3192,0.9138276553106213
569,199.2298,101.3555,5,1,0.2
568,271.3081,136.0823,24,3,0.125
567,363.2228,182.2385,165,105,0.6363636363636364
566,455.1383,228.397,5904,5085,0.8612804878048781
565,179.3944,89.9328,0,0,
564,435.3034,216.9582,7500,7049,0.9398666666666666
563,527.2203,263.1166,0,0,
562,343.3865,170.8021,67,20,0.29850746268656714
561,251.4687,124.6507,15,6,0.4
560,507.3833,251.6753,11,7,0.6363636363636364
559,415.4646,205.5186,7575,7257,0.958019801980198
558,159.5497,78.5123,0,0,
557,323.5446,159.3648,44,7,0.1590909090909091
556,487.5426,240.2333,1967,1655,0.8413828164717845
555,231.6214,113.2187,12,2,0.16666666666666666
554,395.621,194.0778,7177,6579,0.9166782778319632
553,303.6962,147.927,27,5,0.18518518518518517
552,467.6979,228.7903,3072,2794,0.9095052083333334
551,139.6894,67.0966,0,0,
550,375.772,182.6364,4673,4009,0.857907126043227
549,211.7641,101.7869,3,2,
548,447.8485,217.3458,5475,2461,0.4494977168949772
547,519.9252,252.0558,0,0,
546,283.8403,136.488,20,2,0.1
545,355.917,171.1932,77,33,0.42857142857142855
544,427.994,205.9001,6544,6212,0.9492665036674817
543,500.0709,240.6084,797,685,0.8594730238393977
542,191.8934,90.3556,0,0,
541,263.9748,125.0482,12,2,0.16666666666666666
540,408.1335,194.453,6357,5947,0.935504168633003
539,480.2117,229.1595,1623,1473,0.9075785582255084
538,336.0544,159.7486,30,5,0.16666666666666666
537,119.8071,55.688,0,0,
536,388.2657,183.0042,5789,4959,0.856624632924512
535,460.3467,217.7091,2741,2271,0.8285297336738416
534,532.4268,252.4152,0,0,
533,316.1831,148.3025,30,5,0.16666666666666666
532,244.0974,113.6066,11,3,0.2727272727272727
531,172.0044,78.9249,0,0,
530,512.5581,240.9619,0,0,
529,440.4752,206.2563,4856,4436,0.913509060955519
528,368.39,171.5535,113,67,0.5929203539823009
527,296.301,136.8547,25,3,0.12
526,492.683,229.5066,1300,1140,0.8769230769230769
525,224.2045,102.1643,12,2,0.16666666666666666
524,420.5957,194.8022,5349,5032,0.940736586277809
523,348.5044,160.1005,36,17,0.4722222222222222
522,276.4057,125.4044,12,3,0.25
521,472.8009,218.0495,1428,1281,0.8970588235294118
520,400.7076,183.3456,4967,4582,0.9224884235957318
519,328.6075,148.6451,13,3,0.23076923076923078
518,525.0057,241.2954,0,0,
517,452.9108,206.5899,2474,1929,0.7797089733225546
516,380.8094,171.8864,2265,1938,0.8556291390728477
515,433.0117,195.1277,3587,3357,0.9358795650961806
514,505.1138,229.8337,308,270,0.8766233766233766
513,485.2135,218.3691,1261,1127,0.893735130848533
512,537.4159,241.6109,0,0,
639,510.3199,294.5593,0,0,
638,470.731,271.7025,4553,4283,0.9406984405886228
637,450.9364,260.2742,7950,7596,0.9554716981132075
636,431.1417,248.8462,9314,8864,0.9516856345286665
635,411.3474,237.4175,5879,4275,0.7271644837557407
634,503.3701,283.6772,40,21,0.525
633,351.9643,203.1326,291,172,0.5910652920962199
632,483.5741,272.2493,1585,1422,0.897160883280757
631,312.3758,180.2762,40,3,0.075
630,463.7775,260.8215,7225,6876,0.9516955017301038
629,443.9808,249.3942,8785,8408,0.9570859419464998
628,272.7878,157.4203,32,0,0.0
627,424.1838,237.9667,9588,9107,0.9498331247392574
626,252.9942,145.992,28,1,0.03571428571428571
625,404.3868,226.5392,9466,8707,0.9198182970631734
624,384.5895,215.1119,9440,923,0.09777542372881357
623,213.4071,123.1366,8,2,0.25
622,364.7919,203.6852,6688,675,0.10092703349282296
621,516.1648,284.1931,0,0,
620,344.9941,192.2579,93,18,0.1935483870967742
619,496.3645,272.7647,56,41,0.7321428571428571
618,325.1958,180.8313,68,7,0.10294117647058823
617,476.5642,261.3363,5388,4993,0.9266889383815887
616,173.8214,100.2819,6,0,0.0
615,456.7627,249.9082,7807,7412,0.9494043806840016
614,305.3971,169.4047,41,2,0.04878048780487805
613,436.9609,238.4796,9520,8714,0.9153361344537815
612,285.5979,157.9788,35,2,0.05714285714285714
611,417.1586,227.0515,9576,8977,0.9374477861319966
610,265.7979,146.5533,32,1,0.03125
609,397.3555,215.6236,9344,8592,0.9195205479452054
608,245.9971,135.1281,10,2,0.2
607,377.5512,204.1957,8447,6963,0.8243163253225997
606,226.1952,123.7039,5,0,0.0
605,509.1055,273.251,3,3,
604,357.7461,192.7676,221,125,0.5656108597285068
603,489.2988,261.821,1454,1283,0.8823933975240715
