channel_id,pad_cx,pad_cy,n_tag,n_hit,eff
447,144.3471,56.383,0,0,
446,538.9023,208.4196,0,0,
445,357.7356,138.249,18,8,0.4444444444444444
444,176.5673,68.1079,0,0,
443,389.9576,149.9791,770,620,0.8051948051948052
442,422.179,161.709,2298,2056,0.8946910356832027
441,208.787,79.8333,0,0,
440,454.3997,173.4382,902,798,0.88470066518847
439,486.6205,185.1675,178,150,0.8426966292134831
438,241.0062,91.5587,4,2,
437,518.8405,196.8959,22,13,0.5909090909090909
436,551.0603,208.6245,0,0,
435,273.2253,103.284,12,1,0.08333333333333333
434,305.4442,115.01,8,2,0.25
433,337.6629,126.7359,16,6,0.375
432,369.8815,138.4616,22,11,0.5
431,402.1,150.1879,1756,1473,0.8388382687927107
430,434.3186,161.9136,1232,1092,0.8863636363636364
429,466.5371,173.6401,167,136,0.8143712574850299
428,498.7553,185.3661,12,9,0.75
427,530.9736,197.0923,0,0,
426,253.1154,91.7747,5,1,0.2
425,285.3339,103.4937,3,0,
424,317.5523,115.2142,8,4,0.5
423,349.7707,126.9359,17,4,0.23529411764705882
422,381.9891,138.6582,30,12,0.4
421,414.2072,150.3811,1201,963,0.8018318068276437
420,446.4257,162.1048,293,259,0.8839590443686007
419,478.6436,173.8288,27,19,0.7037037037037037
418,510.862,185.5531,6,4,0.6666666666666666
417,543.08,197.2778,0,0,
416,220.8966,80.0583,0,0,
415,188.6776,68.3451,0,0,
414,156.4584,56.6379,0,0,
413,124.238,44.9423,0,0,
412,426.2817,150.5609,325,264,0.8123076923076923
411,458.5021,162.2831,29,13,0.4482758620689655
410,490.7221,174.0057,12,8,0.6666666666666666
409,522.9418,185.7294,14,9,0.6428571428571429
408,555.1616,197.4525,0,0,
407,394.0613,138.8397,240,189,0.7875
406,361.84,127.1193,18,3,0.16666666666666666
405,329.6184,115.4001,9,4,0.4444444444444444
404,297.3957,103.6827,7,1,0.14285714285714285
403,265.1722,91.9671,3,1,
402,232.9471,80.2552,1,0,
401,200.7195,68.5485,0,0,
400,168.4884,56.8501,0,0,
399,136.2509,45.167,0,0,
398,534.9965,185.8953,0,0,
