channel_id,pad_cx,pad_cy,n_tag,n_hit,eff
447,144.3471,56.383,0,0,
446,538.9023,208.4196,0,0,
445,357.7356,138.249,27,17,0.6296296296296297
444,176.5673,68.1079,0,0,
443,389.9576,149.9791,637,594,0.9324960753532182
442,422.179,161.709,2278,2194,0.9631255487269534
441,208.787,79.8333,2,0,
440,454.3997,173.4382,844,816,0.966824644549763
439,486.6205,185.1675,213,189,0.8873239436619719
438,241.0062,91.5587,9,1,0.1111111111111111
437,518.8405,196.8959,35,27,0.7714285714285715
436,551.0603,208.6245,0,0,
435,273.2253,103.284,14,3,0.21428571428571427
434,305.4442,115.01,12,1,0.08333333333333333
433,337.6629,126.7359,19,5,0.2631578947368421
432,369.8815,138.4616,26,13,0.5
431,402.1,150.1879,1675,1557,0.9295522388059702
430,434.3186,161.9136,1181,1132,0.9585097375105842
429,466.5371,173.6401,237,215,0.9071729957805907
428,498.7553,185.3661,28,23,0.8214285714285714
427,530.9736,197.0923,0,0,
426,253.1154,91.7747,4,3,
425,285.3339,103.4937,9,4,0.4444444444444444
424,317.5523,115.2142,15,5,0.3333333333333333
423,349.7707,126.9359,11,2,0.18181818181818182
422,381.9891,138.6582,16,12,0.75
421,414.2072,150.3811,1153,1112,0.9644405897658282
420,446.4257,162.1048,264,250,0.946969696969697
419,478.6436,173.8288,30,22,0.7333333333333333
418,510.862,185.5531,9,4,0.4444444444444444
417,543.08,197.2778,0,0,
416,220.8966,80.0583,3,0,
415,188.6776,68.3451,0,0,
414,156.4584,56.6379,0,0,
413,124.238,44.9423,0,0,
412,426.2817,150.5609,286,273,0.9545454545454546
411,458.5021,162.2831,43,34,0.7906976744186046
410,490.7221,174.0057,20,13,0.65
409,522.9418,185.7294,8,4,0.5
408,555.1616,197.4525,0,0,
407,394.0613,138.8397,200,176,0.88
406,361.84,127.1193,23,6,0.2608695652173913
405,329.6184,115.4001,19,4,0.21052631578947367
404,297.3957,103.6827,12,1,0.08333333333333333
403,265.1722,91.9671,2,0,
402,232.9471,80.2552,6,1,0.16666666666666666
401,200.7195,68.5485,0,0,
400,168.4884,56.8501,0,0,
