channel_id,pad_cx,pad_cy,n_tag,n_hit,eff
447,144.3471,56.383,0,0,
446,538.9023,208.4196,0,0,
445,357.7356,138.249,57,25,0.43859649122807015
444,176.5673,68.1079,0,0,
443,389.9576,149.9791,2150,1869,0.8693023255813953
442,422.179,161.709,6181,5569,0.9009868953243811
441,208.787,79.8333,10,3,0.3
440,454.3997,173.4382,2471,2182,0.8830433023067584
439,486.6205,185.1675,438,363,0.8287671232876712
438,241.0062,91.5587,21,7,0.3333333333333333
437,518.8405,196.8959,53,32,0.6037735849056604
436,551.0603,208.6245,0,0,
435,273.2253,103.284,18,4,0.2222222222222222
434,305.4442,115.01,16,7,0.4375
433,337.6629,126.7359,32,8,0.25
432,369.8815,138.4616,60,23,0.38333333333333336
431,402.1,150.1879,4834,4271,0.8835333057509309
430,434.3186,161.9136,3525,3155,0.8950354609929078
429,466.5371,173.6401,520,452,0.8692307692307693
428,498.7553,185.3661,65,41,0.6307692307692307
427,530.9736,197.0923,1,1,
426,253.1154,91.7747,17,6,0.35294117647058826
425,285.3339,103.4937,25,7,0.28
424,317.5523,115.2142,19,5,0.2631578947368421
423,349.7707,126.9359,32,13,0.40625
422,381.9891,138.6582,67,20,0.29850746268656714
421,414.2072,150.3811,3343,2818,0.84295542925516
420,446.4257,162.1048,846,728,0.8605200945626478
419,478.6436,173.8288,54,31,0.5740740740740741
418,510.862,185.5531,35,12,0.34285714285714286
417,543.08,197.2778,0,0,
416,220.8966,80.0583,13,5,0.38461538461538464
415,188.6776,68.3451,0,0,
414,156.4584,56.6379,0,0,
413,124.238,44.9423,0,0,
412,426.2817,150.5609,997,840,0.8425275827482447
411,458.5021,162.2831,97,51,0.5257731958762887
410,490.7221,174.0057,49,18,0.3673469387755102
409,522.9418,185.7294,18,5,0.2777777777777778
408,555.1616,197.4525,0,0,
407,394.0613,138.8397,640,534,0.834375
406,361.84,127.1193,45,20,0.4444444444444444
405,329.6184,115.4001,26,6,0.23076923076923078
404,297.3957,103.6827,18,7,0.3888888888888889
403,265.1722,91.9671,21,2,0.09523809523809523
402,232.9471,80.2552,10,2,0.2
