channel_id,pad_cx,pad_cy,n_tag,n_hit,eff
447,144.3471,56.383,0,0,
446,538.9023,208.4196,0,0,
445,357.7356,138.249,38,14,0.3684210526315789
444,176.5673,68.1079,0,0,
443,389.9576,149.9791,1171,1111,0.9487617421007686
442,422.179,161.709,3595,3523,0.9799721835883171
441,208.787,79.8333,11,6,0.5454545454545454
440,454.3997,173.4382,1535,1485,0.9674267100977199
439,486.6205,185.1675,246,230,0.9349593495934959
438,241.0062,91.5587,12,3,0.25
437,518.8405,196.8959,36,26,0.7222222222222222
436,551.0603,208.6245,0,0,
435,273.2253,103.284,18,4,0.2222222222222222
434,305.4442,115.01,19,7,0.3684210526315789
433,337.6629,126.7359,25,12,0.48
432,369.8815,138.4616,36,18,0.5
431,402.1,150.1879,2705,2616,0.967097966728281
430,434.3186,161.9136,2094,2044,0.9761222540592168
429,466.5371,173.6401,326,286,0.8773006134969326
428,498.7553,185.3661,56,44,0.7857142857142857
427,530.9736,197.0923,1,1,
426,253.1154,91.7747,12,3,0.25
425,285.3339,103.4937,9,3,0.3333333333333333
424,317.5523,115.2142,21,8,0.38095238095238093
423,349.7707,126.9359,24,11,0.4583333333333333
422,381.9891,138.6582,26,22,0.8461538461538461
421,414.2072,150.3811,1971,1914,0.9710806697108066
420,446.4257,162.1048,503,483,0.9602385685884692
419,478.6436,173.8288,51,40,0.7843137254901961
418,510.862,185.5531,25,13,0.52
417,543.08,197.2778,0,0,
416,220.8966,80.0583,7,2,0.2857142857142857
415,188.6776,68.3451,0,0,
414,156.4584,56.6379,0,0,
413,124.238,44.9423,0,0,
412,426.2817,150.5609,655,627,0.9572519083969465
411,458.5021,162.2831,57,36,0.631578947368421
410,490.7221,174.0057,18,10,0.5555555555555556
409,522.9418,185.7294,32,8,0.25
408,555.1616,197.4525,0,0,
407,394.0613,138.8397,358,329,0.9189944134078212
406,361.84,127.1193,25,14,0.56
405,329.6184,115.4001,23,10,0.43478260869565216
404,297.3957,103.6827,12,6,0.5
403,265.1722,91.9671,12,0,0.0
402,232.9471,80.2552,1,1,
401,200.7195,68.5485,0,0,
