tau_lo_s,tau_hi_s,n,mean_excess_ua,err_ua
-0.800,-0.400,425,0.009720,0.001317
-0.400,0.000,226,0.018071,0.002953
0.000,0.400,53,0.025561,0.008941
0.400,0.800,403,0.130896,0.010400
0.800,1.200,245,0.197804,0.011686
1.200,1.600,427,0.275348,0.010607
1.600,2.000,225,0.138430,0.010373
2.000,2.400,53,0.063383,0.011237
