tau_lo_s,tau_hi_s,n,mean_excess_ua,err_ua
-0.800,-0.400,425,0.000416,0.000071
-0.400,0.000,226,0.002080,0.000523
0.000,0.400,53,0.003264,0.001754
0.400,0.800,403,0.040623,0.003318
0.800,1.200,245,0.041127,0.002687
1.200,1.600,427,0.076122,0.003559
1.600,2.000,225,0.023942,0.002385
2.000,2.400,53,0.011151,0.003749
