tau_lo_s,tau_hi_s,n,mean_excess_ua,err_ua
-0.800,-0.400,425,0.008014,0.000832
-0.400,0.000,226,0.009595,0.001370
0.000,0.400,53,0.012588,0.003835
0.400,0.800,403,0.066456,0.004754
0.800,1.200,245,0.066404,0.003910
1.200,1.600,427,0.111600,0.005104
1.600,2.000,225,0.039562,0.003721
2.000,2.400,53,0.021726,0.005990
