tau_lo_s,tau_hi_s,n,mean_excess_ua,err_ua
-0.800,-0.400,425,0.000000,0.000000
-0.400,0.000,226,0.000000,0.000000
0.000,0.400,53,0.000000,0.000000
0.400,0.800,403,0.000000,0.000000
0.800,1.200,245,0.000000,0.000000
1.200,1.600,427,0.000000,0.000000
1.600,2.000,225,0.000000,0.000000
2.000,2.400,53,0.000000,0.000000
