run,subrun,det,resist_v,drift_v,n_samples,t_start,t_end,i_median_ua,i_mean_ua,di_ua,di_err_ua,frac_elevated,n_pulses,pulse_rate_hz,q_per_pulse_nc,q_err_nc,q_per_channel_pc,leak_ok,notes
run_19,dr400_A481_02,A,480.75,399.75,450,1783671582.0,1783672034.0,1.30349999666214,1.3451244441668193,0.04162444750467942,0.005481192912953,0.3888888888888889,81,0.17920353982300885,232.27469471747034,30.5864098352439,226.83075656002964,False,
run_19,dr400_A481_02,B,481.0,399.75,450,1783671582.0,1783672034.0,3.5480000972747803,3.559866665734185,0.011866568459404814,0.0040973708990307296,0.4222222222222222,81,0.17920353982300885,66.21838202038242,22.86434131310975,64.6663886917797,False,
run_19,dr400_A481_02,C,480.5,399.75,450,1783671582.0,1783672034.0,5.089000225067139,5.1004333326551645,0.011433107588025848,0.0032480715543394623,0.37555555555555553,81,0.17920353982300885,63.79956333071213,18.125041266190582,62.304261065148566,False,
run_19,dr400_A481_02,D,465.75,400.0,450,1783671582.0,1783672034.0,6.986500024795532,6.9990955554114445,0.012595530615912232,0.004322726312869542,0.44,81,0.17920353982300885,70.28617084434973,24.12188016564238,68.63883871518527,False,
run_19,dr400_A483_01,A,482.75,399.75,918,1783670648.0,1783671571.0,1.7480000257492065,1.810192813670713,0.06219278792150651,0.005019370432927714,0.42592592592592593,189,0.2047670639219935,303.72456746852123,24.512586823239577,296.6060229184778,False,
run_19,dr400_A483_01,B,483.0,399.75,918,1783670648.0,1783671571.0,4.2870001792907715,4.298189542651955,0.011189363361183702,0.003246216759390329,0.42919389978213507,189,0.2047670639219935,54.64435122948443,15.85321729585859,53.363624247543385,False,
run_19,dr400_A483_01,C,482.5,399.75,918,1783670648.0,1783671571.0,6.545000076293945,6.5649498895882,0.019949813294254604,0.0022183344148006268,0.3779956427015251,189,0.2047670639219935,97.42686598199471,10.83345325323269,95.1434238105417,False,
run_19,dr400_A483_01,D,467.5,400.0,917,1783670648.0,1783671571.0,7.625999927520752,7.636798253366186,0.01079832584543361,0.003081601794402032,0.42202835332606325,189,0.2047670639219935,52.7346812451599,15.0493040012332,51.49871215347646,False,
run_19,dr400_A485_00,A,484.75,399.75,848,1783669781.0,1783670637.0,2.566499948501587,2.699132074162645,0.1326321256610581,0.01572809189164906,0.44339622641509435,205,0.23948598130841123,553.8199978822718,65.67437394756875,540.839841681906,False,
run_19,dr400_A485_00,B,485.0,399.75,847,1783669781.0,1783670637.0,5.340000152587891,5.449190077843604,0.10918992525571358,0.012022997609304273,0.45454545454545453,205,0.23948598130841123,455.93451716532104,50.203346114948566,445.24855191925883,False,
run_19,dr400_A485_00,C,484.5,399.75,848,1783669781.0,1783670637.0,7.638999938964844,7.6942181665942355,0.05521822762939177,0.006369087970025564,0.455188679245283,205,0.23948598130841123,230.56977000370418,26.59482586508235,225.16579101924236,False,
run_19,dr400_A485_00,D,469.5,400.0,848,1783669781.0,1783670637.0,8.307499885559082,8.31782074863056,0.010320863071477504,0.003707850074929966,0.44339622641509435,205,0.23948598130841123,43.0958965326085,15.482534947024634,42.08583645762549,False,
run_19,dr800_A445_13_p1,A,444.75,800.0,1213,1783652057.0,1783653278.0,0.006000000052154064,0.012710634837048367,0.006710634784894302,0.00036006788485925937,0.16488046166529266,361,0.29565929565929566,22.697188566082943,1.2178473335544477,22.165223209065374,True,
run_19,dr800_A445_13_p1,B,444.75,800.0,1213,1783652057.0,1783653278.0,1.7549999952316284,1.760596849558674,0.005596854327045486,0.00035496369705491067,0.13602638087386645,361,0.29565929565929566,18.93008070172448,1.2005835847757504,18.486406935277813,False,
run_19,dr800_A445_13_p1,C,444.5,800.0,1213,1783652057.0,1783653278.0,0.026000000536441803,0.0321360267192027,0.0061360261827608995,0.0003719492505545032,0.13767518549051938,361,0.29565929565929566,20.753706285737,1.2580333377480564,20.26729129466504,True,
run_19,dr800_A445_13_p1,D,429.5,800.25,1213,1783652057.0,1783653278.0,0.621999979019165,0.6332440228375736,0.0112440438184086,0.0008717007860137833,0.2679307502061006,361,0.29565929565929566,38.030408593564815,2.948328697293156,37.13907089215314,False,
run_19,dr800_A450_12_p1,A,449.75,800.0,1213,1783650827.0,1783652046.0,0.00800000037997961,0.016251442761230302,0.008251442381250692,0.0005209146354148147,0.19291014014839242,354,0.2904019688269073,28.413865148996027,1.7937710185611837,27.747915184566434,True,
