    run  official  parts          bunches   reach      ours  parts   reach  merged
 224609   COVERED     49           1-3851    3851         -      0       -     yes
 224610   COVERED     78           1-6188    6188         -      0       -     yes
 224611   COVERED     55           1-4370    4370         -      0       -     yes
 224612   COVERED    103           1-8210    8210         -      0       -     yes
 224613   COVERED     53           1-4231    4231         -      0       -     yes
 224614   COVERED     47           1-3749    3749         -      0       -     yes
 224615   COVERED     43           1-3420    3420         -      0       -     yes
 224616   COVERED     51           1-4018    4018         -      0       -     yes
 224617   COVERED     51           1-4031    4031         -      0       -      no
 224618   COVERED     37           1-2954    2954         -      0       -     yes
 224619   COVERED     41           1-3217    3217         -      0       -     yes
 224620   COVERED     43           1-3381    3381         -      0       -     yes
 224621   COVERED     25           1-1999    1999         -      0       -     yes
 224622   COVERED      5            1-382     382         -      0       -     yes
 224623   COVERED     43           1-3369    3369         -      0       -     yes
 224624   COVERED     46           1-3675    3675         -      0       -     yes
 224625   COVERED     41           1-3222    3222         -      0       -     yes
 224626   COVERED     59           1-4664    4664         -      0       -     yes
 224627   COVERED      9           1-1745    1745         -      0       -     yes
 224628   COVERED     42           1-3321    3321         -      0       -     yes
 224629   COVERED     39           1-3103    3103         -      0       -     yes
 224630   COVERED      4            1-703     703         -      0       -     yes
 224631   COVERED      9            1-647     647         -      0       -     yes
 224632   COVERED     63           1-4966    4966         -      0       -     yes
 224633   COVERED     43           1-3375    3375         -      0       -     yes
 224634   COVERED     17           1-3365    3365         -      0       -     yes
 224635   COVERED     45           1-3560    3560         -      0       -     yes
 224636   COVERED     53           1-4179    4179         -      0       -     yes
 224637   COVERED     49           1-3915    3915         -      0       -     yes
 224638   COVERED     42           1-3297    3297         -      0       -      no
 224639   COVERED     45           1-3555    3555         -      0       -      no
 224640   COVERED     30           1-2341    2341         -      0       -     yes
 224641   COVERED     41           1-3252    3252         -      0       -     yes
 224642   COVERED     43           1-3392    3392         -      0       -     yes
 224643   COVERED     43           1-3375    3375         -      0       -     yes
 224644   COVERED     56           1-4450    4450         -      0       -     yes
 224645   COVERED     49           1-3900    3900         -      0       -     yes
 224646   COVERED     45           1-3553    3553         -      0       -     yes
 224647   COVERED     46           1-3232    3232         -      0       -     yes
 224648   COVERED      1             1-51      51         -      0       -     yes
 224651   COVERED      7            1-553     553         -      0       -     yes
 224652   COVERED     53           1-4197    4197         -      0       -      no
 224653   COVERED     50           1-3942    3942         -      0       -      no
 224654   COVERED     45           1-3554    3554         -      0       -     yes
 224655   COVERED     44           1-3458    3458         -      0       -     yes
