eid,theta_ref_x,theta_ref_y,x_slope,x_intercept,x_tan_fit,x_theta_fit,x_rms,x_span_t,x_n,x_n_core,x_amp_max,y_slope,y_intercept,y_tan_fit,y_theta_fit,y_rms,y_span_t,y_n,y_n_core,y_amp_max,score,theta_sel
24373,,,-28.383230309374305,2541.157392632208,-1.036237397410271,-46.01954260787252,12.629434500698569,797.6346435546875,29,18,596.2485961914062,-51.552905723680844,9402.56323461376,-0.5705161385766865,-29.705455822079816,14.966815794743237,707.8857421875,21,15,696.3433837890625,0.04140509948969975,-46.01954260787252
16659,,,-43.92576586285562,5673.510796865807,-0.6695788708092496,-33.80542870267243,20.471461367017444,739.746826171875,24,17,887.44140625,-61.24617483672458,15515.403945315773,-0.4802220674889626,-25.65134589873084,20.391266491274045,746.1154174804688,17,16,903.7404174804688,0.056338559382975606,-33.80542870267243
13650,,,44.869635681718165,-8878.7447153613,0.6554937266376331,33.244589953336664,17.617659145198974,682.0609130859375,24,9,1660.012939453125,-69.12589914573395,11221.679173396209,-0.4254811158965948,-23.0488365382905,27.556003668275714,836.5648803710938,19,13,1688.1087646484375,0.05729977270136727,33.244589953336664
38744,,,48.9038131850866,-12047.842961645252,0.6014206825665607,31.023571310626895,19.857093478590183,620.5154418945312,21,10,1606.36474609375,35.579186344636234,-10120.299742832454,0.8266564732815017,39.579057770424185,17.157979703943536,704.506103515625,28,17,1260.239013671875,0.0591782767690441,31.023571310626895
13024,,,-47.904284023279395,17296.404707157573,-0.6139694038969358,-31.54865189878655,20.978829288254293,695.404296875,22,9,1729.9146728515625,-60.09650653703836,9941.215026635076,-0.4894088924745642,-26.077536957197015,20.63490815415543,672.8577880859375,18,14,1345.1988525390625,0.060501597760196035,-31.54865189878655
9727,,,59.23076274054605,-12449.06404071976,0.49656231567905695,26.40726276241158,16.76021135965693,728.013916015625,20,11,2606.8115234375,56.30880407127027,-6528.330762909696,0.522329770468145,27.579405407759907,40.39998779330827,812.6027221679688,23,12,3119.42822265625,0.06288021645081654,26.40726276241158
20286,,,-56.58440126140745,14629.66347249748,-0.5197857368854446,-27.46476738760296,16.3217866543232,689.247314453125,18,13,1188.922607421875,-43.32917557543429,13279.576513004315,-0.678798161176127,-34.16858863389502,35.012147165529406,696.827392578125,24,18,906.8427124023438,0.06380313455103795,-27.46476738760296
4310,,,35.067033074489466,-4280.375414406295,0.838729773442932,39.98756217722533,15.871263466797833,777.1636962890625,31,18,1097.8564453125,79.94613291778249,-16457.042517459824,0.36789477655072755,20.19830520029059,38.31799389102304,667.5009765625,15,12,1590.5849609375,0.06412460920293912,39.98756217722533
37166,,,-57.51973963368629,10170.996158765813,-0.511333411680769,-27.082178071732972,21.578791842909087,664.1651611328125,18,8,1219.867919921875,54.60545860504294,-4607.184643407737,0.5386231607102757,28.307934116952996,22.66771143255576,657.5194091796875,20,11,1013.610107421875,0.06472739353966589,-27.082178071732972
12737,,,58.160607151059274,-3953.4158112662026,0.505699065855551,26.82568117285695,20.890009008408587,600.0631103515625,17,13,2177.809814453125,57.38296031098883,-2272.088403746136,0.5125522375716474,27.137509965491756,16.71581637118867,552.0616455078125,19,8,3226.849365234375,0.06495246720551136,26.82568117285695
