0.0	3.930611
1.0	2.911531
2.0	2.971720
3.0	-0.000000
4.0	0.531789
5.0	2.938968
6.0	0.805083
7.0	1.357609
8.0	-0.000000
9.0	0.131110
10.0	1.264593
11.0	0.653844
12.0	1.475880
13.0	4.578532
14.0	0.173932
15.0	-0.791771
16.0	0.029253
17.0	-1.260910
18.0	-26.169139
19.0	-157.197605
20.0	-500.000000
21.0	-853.345179
22.0	-923.256536
23.0	-807.719722
24.0	-634.959809
25.0	-486.188152
26.0	-361.235960
27.0	-285.216184
28.0	-247.595783
29.0	-182.681484
30.0	-147.782260
31.0	-126.015887
32.0	-95.432586
33.0	-74.000831
34.0	-61.190440
35.0	-55.817169
36.0	-54.842405
37.0	-54.592798
38.0	-47.016202
39.0	-28.803342
40.0	-15.455931
41.0	-12.136506
42.0	-10.500878
43.0	-12.492021
44.0	-13.505663
45.0	-11.346959
46.0	-12.346948
47.0	-13.744027
48.0	-15.265874
49.0	-11.179092
50.0	-13.967974
51.0	-15.798120
52.0	-12.688210
53.0	-12.006157
54.0	-12.712547
55.0	-15.032187
56.0	-12.978852
57.0	-12.020060
58.0	-11.570172
59.0	-11.061430
60.0	-11.136102
61.0	-9.500634
62.0	-10.101058
63.0	-10.069900
64.0	-12.455972
65.0	-11.492063
66.0	-9.990545
67.0	-10.711447
68.0	-8.025671
69.0	-10.343248
70.0	-10.026442
71.0	-9.233260
72.0	-8.146378
73.0	-8.269222
74.0	-7.487863
75.0	-6.079275
76.0	-5.542544
77.0	-4.281609
78.0	-4.692544
79.0	-6.822066
80.0	-9.040263
