0.0	0.757267
1.0	0.756811
2.0	-0.363646
3.0	-0.392414
4.0	0.182414
5.0	0.172533
6.0	0.679157
7.0	1.314895
8.0	1.180326
9.0	-0.821784
10.0	-0.886953
11.0	-0.166855
12.0	-0.626522
13.0	1.379811
14.0	0.196656
15.0	1.056029
16.0	-0.388147
17.0	-2.663021
18.0	-20.947057
19.0	-159.641373
20.0	-500.000000
21.0	-857.203897
22.0	-889.082692
23.0	-772.836777
24.0	-573.365611
25.0	-431.866677
26.0	-338.309258
27.0	-261.938691
28.0	-208.481926
29.0	-168.996249
30.0	-143.227552
31.0	-114.125362
32.0	-100.937629
33.0	-83.697489
34.0	-66.516224
35.0	-60.478016
36.0	-58.904845
37.0	-57.832487
38.0	-42.991042
39.0	-25.136358
40.0	-12.669609
41.0	-11.381992
42.0	-10.804314
43.0	-10.245729
44.0	-8.701931
45.0	-8.111312
46.0	-11.112109
47.0	-12.728887
48.0	-11.509997
49.0	-12.622759
50.0	-11.844998
51.0	-11.904061
52.0	-11.169022
53.0	-12.260195
54.0	-9.997966
55.0	-7.891241
56.0	-12.226727
57.0	-11.793782
58.0	-9.723681
59.0	-10.510662
60.0	-11.824685
61.0	-10.812174
62.0	-8.750606
63.0	-7.940769
64.0	-10.493635
65.0	-9.037625
66.0	-9.233068
67.0	-8.828067
68.0	-8.152040
69.0	-7.997195
70.0	-7.012465
71.0	-7.369398
72.0	-7.556588
73.0	-7.848649
74.0	-6.778614
75.0	-7.347465
76.0	-9.560054
77.0	-8.913051
78.0	-8.312308
79.0	-8.168341
80.0	-6.239656
