0.0	0.092274
1.0	-0.175490
2.0	-0.566316
3.0	0.694391
4.0	-0.029648
5.0	0.174109
6.0	0.111613
7.0	0.255800
8.0	-0.450335
9.0	-0.345296
10.0	-0.172035
11.0	-0.528956
12.0	0.095734
13.0	0.343350
14.0	0.042228
15.0	-0.344573
16.0	-1.253529
17.0	-2.350235
18.0	-23.020963
19.0	-167.524835
20.0	-500.000000
21.0	-837.211833
22.0	-964.070155
23.0	-929.894368
24.0	-781.626868
25.0	-607.427019
26.0	-460.164523
27.0	-365.404392
28.0	-304.437582
29.0	-257.238709
30.0	-218.158515
31.0	-183.709064
32.0	-156.414210
33.0	-130.744953
34.0	-111.763494
35.0	-96.650075
36.0	-90.229286
37.0	-86.621316
38.0	-59.389859
39.0	-44.450144
40.0	-33.522309
41.0	-20.280895
42.0	-21.885923
43.0	-25.131268
44.0	-24.948711
45.0	-25.273689
46.0	-22.257401
47.0	-23.479516
48.0	-24.116014
49.0	-23.591206
50.0	-22.785447
51.0	-21.044518
52.0	-20.242274
53.0	-19.731921
54.0	-21.713645
55.0	-23.428680
56.0	-21.525243
57.0	-20.346572
58.0	-17.445974
59.0	-16.452641
60.0	-16.287687
61.0	-15.832410
62.0	-16.935078
63.0	-15.811100
64.0	-15.343709
65.0	-14.323220
66.0	-12.867272
67.0	-14.543953
68.0	-14.151903
69.0	-13.547044
70.0	-14.010589
71.0	-13.459517
72.0	-13.846979
73.0	-11.679278
74.0	-11.465657
75.0	-11.170988
76.0	-11.687645
77.0	-12.031838
78.0	-11.720504
79.0	-11.306401
80.0	-11.126743
