# ideal-case e+e- truth kinematics, n+3He -> 4He*(20.58 MeV) -> e+e-
# source: signal_openingangle.npz <- Geant4 pairs_thermal_trig_2cm EventTree (generator truth, ungated)
# reduce: mpgd26/make_pair_kinematics.py --reduce
# x17: n=1000878 ke_lo=3.847 ke_hi=15.711 theta_min=109.34 theta_med=116.90 theta_q25=111.1 theta_q75=129.7 soft_min=3.847 soft_med=6.812 sum_ke=19.5580
# ipc: n=999122 ke_lo=0.001 ke_hi=19.557 theta_min=0.00 theta_med=30.36 theta_q25=11.3 theta_q75=70.6 soft_min=0.001 soft_med=5.926 sum_ke=19.5580
kind,channel,lo,hi,density
opening_angle,x17,84,86,0
opening_angle,x17,86,88,0
opening_angle,x17,88,90,0
opening_angle,x17,90,92,0
opening_angle,x17,92,94,0
opening_angle,x17,94,96,0
opening_angle,x17,96,98,0
opening_angle,x17,98,100,0
opening_angle,x17,100,102,0
opening_angle,x17,102,104,0
opening_angle,x17,104,106,0
opening_angle,x17,106,108,0
opening_angle,x17,108,110,0.0780245
opening_angle,x17,110,112,0.0762725
opening_angle,x17,112,114,0.0464602
opening_angle,x17,114,116,0.0355383
opening_angle,x17,116,118,0.0292623
opening_angle,x17,118,120,0.0248477
opening_angle,x17,120,122,0.0215596
opening_angle,x17,122,124,0.0190468
opening_angle,x17,124,126,0.0170016
opening_angle,x17,126,128,0.0150987
opening_angle,x17,128,130,0.0137205
opening_angle,x17,130,132,0.0124431
opening_angle,x17,132,134,0.0112781
opening_angle,x17,134,136,0.0103429
opening_angle,x17,136,138,0.00947968
opening_angle,x17,138,140,0.00884573
opening_angle,x17,140,142,0.007978
opening_angle,x17,142,144,0.00730209
opening_angle,x17,144,146,0.00677755
opening_angle,x17,146,148,0.00611763
opening_angle,x17,148,150,0.00559309
opening_angle,x17,150,152,0.00510951
opening_angle,x17,152,154,0.0046704
opening_angle,x17,154,156,0.00418932
opening_angle,x17,156,158,0.00392555
opening_angle,x17,158,160,0.00345846
opening_angle,x17,160,162,0.00302934
opening_angle,x17,162,164,0.00274159
opening_angle,x17,164,166,0.00228649
opening_angle,x17,166,168,0.00200724
opening_angle,x17,168,170,0.00175446
opening_angle,x17,170,172,0.00133033
opening_angle,x17,172,174,0.00107006
opening_angle,x17,174,176,0.000810788
opening_angle,x17,176,178,0.000468589
opening_angle,x17,178,180,0.000157362
lepton_ke,ipc,0,0.2,0.00985115
lepton_ke,ipc,0.2,0.4,0.0171851
lepton_ke,ipc,0.4,0.6,0.0214714
lepton_ke,ipc,0.6,0.8,0.025087
lepton_ke,ipc,0.8,1,0.0276943
lepton_ke,ipc,1,1.2,0.030807
lepton_ke,ipc,1.2,1.4,0.0333067
lepton_ke,ipc,1.4,1.6,0.034718
lepton_ke,ipc,1.6,1.8,0.0365096
lepton_ke,ipc,1.8,2,0.0383111
lepton_ke,ipc,2,2.2,0.0397499
lepton_ke,ipc,2.2,2.4,0.0412037
lepton_ke,ipc,2.4,2.6,0.0422671
lepton_ke,ipc,2.6,2.8,0.0437284
lepton_ke,ipc,2.8,3,0.0447818
lepton_ke,ipc,3,3.2,0.0460179
lepton_ke,ipc,3.2,3.4,0.0470488
lepton_ke,ipc,3.4,3.6,0.0482399
lepton_ke,ipc,3.6,3.8,0.0488779
lepton_ke,ipc,3.8,4,0.0495735
lepton_ke,ipc,4,4.2,0.0508371
lepton_ke,ipc,4.2,4.4,0.051873
lepton_ke,ipc,4.4,4.6,0.0522884
lepton_ke,ipc,4.6,4.8,0.0533118
lepton_ke,ipc,4.8,5,0.0536671
lepton_ke,ipc,5,5.2,0.0548582
lepton_ke,ipc,5.2,5.4,0.0563144
lepton_ke,ipc,5.4,5.6,0.0562644
lepton_ke,ipc,5.6,5.8,0.0573754
lepton_ke,ipc,5.8,6,0.0583938
lepton_ke,ipc,6,6.2,0.059277
lepton_ke,ipc,6.2,6.4,0.0596198
lepton_ke,ipc,6.4,6.6,0.0601853
lepton_ke,ipc,6.6,6.8,0.0617017
lepton_ke,ipc,6.8,7,0.0626175
lepton_ke,ipc,7,7.2,0.0630654
lepton_ke,ipc,7.2,7.4,0.0630654
lepton_ke,ipc,7.4,7.6,0.0633631
lepton_ke,ipc,7.6,7.8,0.0647168
lepton_ke,ipc,7.8,8,0.0651522
lepton_ke,ipc,8,8.2,0.0651472
lepton_ke,ipc,8.2,8.4,0.0667211
lepton_ke,ipc,8.4,8.6,0.0663908
lepton_ke,ipc,8.6,8.8,0.0673842
lepton_ke,ipc,8.8,9,0.0680823
lepton_ke,ipc,9,9.2,0.0685026
lepton_ke,ipc,9.2,9.4,0.0692308
lepton_ke,ipc,9.4,9.6,0.0709448
lepton_ke,ipc,9.6,9.8,0.0704418
lepton_ke,ipc,9.8,10,0.0710499
lepton_ke,ipc,10,10.2,0.0704644
lepton_ke,ipc,10.2,10.4,0.0691958
lepton_ke,ipc,10.4,10.6,0.0685102
lepton_ke,ipc,10.6,10.8,0.0679397
lepton_ke,ipc,10.8,11,0.0671915
lepton_ke,ipc,11,11.2,0.0663583
lepton_ke,ipc,11.2,11.4,0.0662106
lepton_ke,ipc,11.4,11.6,0.0653098
lepton_ke,ipc,11.6,11.8,0.0650646
lepton_ke,ipc,11.8,12,0.064329
lepton_ke,ipc,12,12.2,0.0634607
lepton_ke,ipc,12.2,12.4,0.0627476
lepton_ke,ipc,12.4,12.6,0.0630479
lepton_ke,ipc,12.6,12.8,0.0624523
lepton_ke,ipc,12.8,13,0.0615866
lepton_ke,ipc,13,13.2,0.059785
lepton_ke,ipc,13.2,13.4,0.0596173
lepton_ke,ipc,13.4,13.6,0.0593046
lepton_ke,ipc,13.6,13.8,0.0580335
lepton_ke,ipc,13.8,14,0.0570626
lepton_ke,ipc,14,14.2,0.0562819
lepton_ke,ipc,14.2,14.4,0.0562119
lepton_ke,ipc,14.4,14.6,0.0545354
lepton_ke,ipc,14.6,14.8,0.0533468
lepton_ke,ipc,14.8,15,0.0531892
lepton_ke,ipc,15,15.2,0.052336
lepton_ke,ipc,15.2,15.4,0.0515628
lepton_ke,ipc,15.4,15.6,0.0508597
lepton_ke,ipc,15.6,15.8,0.0491557
lepton_ke,ipc,15.8,16,0.0488629
lepton_ke,ipc,16,16.2,0.0479021
lepton_ke,ipc,16.2,16.4,0.0468987
lepton_ke,ipc,16.4,16.6,0.0458853
lepton_ke,ipc,16.6,16.8,0.0442814
lepton_ke,ipc,16.8,17,0.0435432
lepton_ke,ipc,17,17.2,0.0419819
lepton_ke,ipc,17.2,17.4,0.0407708
lepton_ke,ipc,17.4,17.6,0.0397249
lepton_ke,ipc,17.6,17.8,0.0379183
lepton_ke,ipc,17.8,18,0.0359991
lepton_ke,ipc,18,18.2,0.0345203
lepton_ke,ipc,18.2,18.4,0.0327262
lepton_ke,ipc,18.4,18.6,0.0304592
lepton_ke,ipc,18.6,18.8,0.0269061
lepton_ke,ipc,18.8,19,0.0244615
lepton_ke,ipc,19,19.2,0.0208008
lepton_ke,ipc,19.2,19.4,0.0159165
lepton_ke,ipc,19.4,19.6,0.00701616
lepton_ke,ipc,19.6,19.8,0
lepton_ke,ipc,19.8,20,0
lepton_ke,ipc,20,20.2,0
lepton_ke,ipc,20.2,20.4,0
lepton_ke,ipc,20.4,20.6,0
lepton_ke,ipc,20.6,20.8,0
opening_angle,ipc,0,2,0.0161502
opening_angle,ipc,2,4,0.0254363
opening_angle,ipc,4,6,0.0254774
opening_angle,ipc,6,8,0.0235307
opening_angle,ipc,8,10,0.0213738
opening_angle,ipc,10,12,0.0194005
opening_angle,ipc,12,14,0.0176125
opening_angle,ipc,14,16,0.015973
opening_angle,ipc,16,18,0.0146098
opening_angle,ipc,18,20,0.0136099
opening_angle,ipc,20,22,0.012573
opening_angle,ipc,22,24,0.0117298
opening_angle,ipc,24,26,0.0109111
opening_angle,ipc,26,28,0.0103711
opening_angle,ipc,28,30,0.00952336
opening_angle,ipc,30,32,0.00905395
opening_angle,ipc,32,34,0.00871065
opening_angle,ipc,34,36,0.00814115
opening_angle,ipc,36,38,0.00786841
opening_angle,ipc,38,40,0.00754563
opening_angle,ipc,40,42,0.00723485
opening_angle,ipc,42,44,0.00679096
opening_angle,ipc,44,46,0.00658678
opening_angle,ipc,46,48,0.00637159
opening_angle,ipc,48,50,0.00605131
opening_angle,ipc,50,52,0.00590318
opening_angle,ipc,52,54,0.00567298
opening_angle,ipc,54,56,0.00547331
opening_angle,ipc,56,58,0.00536421
opening_angle,ipc,58,60,0.00507145
opening_angle,ipc,60,62,0.00499038
opening_angle,ipc,62,64,0.00480372
opening_angle,ipc,64,66,0.00474166
opening_angle,ipc,66,68,0.0045575
opening_angle,ipc,68,70,0.00444891
opening_angle,ipc,70,72,0.00430428
opening_angle,ipc,72,74,0.00426174
opening_angle,ipc,74,76,0.00402904
opening_angle,ipc,76,78,0.00403754
opening_angle,ipc,78,80,0.00382686
opening_angle,ipc,80,82,0.00380134
opening_angle,ipc,82,84,0.00380484
opening_angle,ipc,84,86,0.00359966
opening_angle,ipc,86,88,0.00358665
opening_angle,ipc,88,90,0.00345303
opening_angle,ipc,90,92,0.00329489
opening_angle,ipc,92,94,0.00324035
opening_angle,ipc,94,96,0.00324235
opening_angle,ipc,96,98,0.00321532
opening_angle,ipc,98,100,0.00297661
opening_angle,ipc,100,102,0.00300164
opening_angle,ipc,102,104,0.0029656
opening_angle,ipc,104,106,0.00291156
opening_angle,ipc,106,108,0.00271088
opening_angle,ipc,108,110,0.00277444
opening_angle,ipc,110,112,0.00272439
opening_angle,ipc,112,114,0.00256976
opening_angle,ipc,114,116,0.00249619
opening_angle,ipc,116,118,0.00251321
opening_angle,ipc,118,120,0.00254624
opening_angle,ipc,120,122,0.00237308
opening_angle,ipc,122,124,0.00235457
opening_angle,ipc,124,126,0.00231053
opening_angle,ipc,126,128,0.00223496
opening_angle,ipc,128,130,0.0021589
opening_angle,ipc,130,132,0.00218842
opening_angle,ipc,132,134,0.00210885
opening_angle,ipc,134,136,0.00201677
opening_angle,ipc,136,138,0.00191518
opening_angle,ipc,138,140,0.00189416
opening_angle,ipc,140,142,0.00184512
opening_angle,ipc,142,144,0.00180909
opening_angle,ipc,144,146,0.00173302
opening_angle,ipc,146,148,0.00166196
opening_angle,ipc,148,150,0.00157038
opening_angle,ipc,150,152,0.00153385
opening_angle,ipc,152,154,0.00143326
opening_angle,ipc,154,156,0.00140924
opening_angle,ipc,156,158,0.00132566
opening_angle,ipc,158,160,0.0012496
opening_angle,ipc,160,162,0.00116953
opening_angle,ipc,162,164,0.0011395
opening_angle,ipc,164,166,0.000998877
opening_angle,ipc,166,168,0.000906796
opening_angle,ipc,168,170,0.00080821
opening_angle,ipc,170,172,0.000723635
opening_angle,ipc,172,174,0.000603029
opening_angle,ipc,174,176,0.00047892
opening_angle,ipc,176,178,0.000349807
opening_angle,ipc,178,180,0.000141624
