0.0	1.357472
1.0	1.579137
2.0	1.919950
3.0	1.350401
4.0	0.873808
5.0	0.064834
6.0	0.276893
7.0	1.318734
8.0	0.673249
9.0	-0.000000
10.0	0.226894
11.0	2.242650
12.0	-0.263877
13.0	-0.650130
14.0	-3.022199
15.0	-11.421103
16.0	-30.251607
17.0	-71.349188
18.0	-160.726643
19.0	-303.667350
20.0	-500.000000
21.0	-694.395104
22.0	-850.389732
23.0	-941.490191
24.0	-933.729309
25.0	-883.268829
26.0	-819.400790
27.0	-755.157207
28.0	-698.094635
29.0	-644.502925
30.0	-582.739726
31.0	-522.233298
32.0	-465.901151
33.0	-413.761569
34.0	-374.664977
35.0	-336.767843
36.0	-295.648221
37.0	-268.527284
38.0	-234.883045
39.0	-213.181258
40.0	-193.563335
41.0	-175.781142
42.0	-156.201036
43.0	-139.234522
44.0	-127.369504
45.0	-115.730487
46.0	-106.007059
47.0	-97.011735
48.0	-88.088463
49.0	-80.592849
50.0	-74.059968
51.0	-69.706391
52.0	-62.842205
53.0	-57.015625
54.0	-52.871100
55.0	-49.964313
56.0	-47.384392
57.0	-48.813421
58.0	-49.258615
59.0	-45.364453
60.0	-41.388580
61.0	-38.273851
62.0	-34.107164
63.0	-32.459203
64.0	-29.194583
65.0	-26.225300
66.0	-26.489700
67.0	-25.915919
68.0	-24.249589
69.0	-21.269058
70.0	-21.363526
71.0	-17.012333
72.0	-17.592727
73.0	-16.610204
74.0	-15.589641
75.0	-17.040834
76.0	-14.196849
77.0	-14.125382
78.0	-14.461842
79.0	-13.787001
80.0	-13.413061
81.0	-11.729906
82.0	-11.131802
83.0	-11.229386
84.0	-11.708722
85.0	-7.941466
86.0	-10.172244
87.0	-11.586394
88.0	-9.933900
89.0	-10.221010
90.0	-8.784648
91.0	-8.251650
92.0	-7.632906
93.0	-8.059192
94.0	-9.470865
95.0	-11.344603
96.0	-8.307497
97.0	-6.708953
98.0	-8.114090
99.0	-6.150913
100.0	-5.740588
