0.0	1.025575
1.0	0.531210
2.0	0.332839
3.0	0.829173
4.0	1.105796
5.0	0.538376
6.0	1.084225
7.0	0.710723
8.0	0.869912
9.0	0.631703
10.0	0.613265
11.0	-0.012611
12.0	0.209831
13.0	-0.000000
14.0	-1.681888
15.0	-6.658032
16.0	-22.380947
17.0	-64.666180
18.0	-155.808394
19.0	-304.660141
20.0	-500.000000
21.0	-698.186616
22.0	-858.021646
23.0	-956.575129
24.0	-982.719514
25.0	-965.303633
26.0	-915.646497
27.0	-849.358658
28.0	-769.896211
29.0	-694.284534
30.0	-617.445243
31.0	-545.422122
32.0	-487.606667
33.0	-431.558785
34.0	-386.823729
35.0	-343.132339
36.0	-308.715845
37.0	-277.727844
38.0	-246.990755
39.0	-220.463888
40.0	-198.678119
41.0	-176.431951
42.0	-159.041131
43.0	-144.876383
44.0	-130.479452
45.0	-116.495798
46.0	-103.849510
47.0	-91.737031
48.0	-86.059953
49.0	-76.409374
50.0	-68.283713
51.0	-61.700032
52.0	-56.465037
53.0	-51.977154
54.0	-47.084923
55.0	-45.188278
56.0	-44.828155
57.0	-41.988400
58.0	-40.895103
59.0	-38.143802
60.0	-34.704252
61.0	-30.993910
62.0	-30.080360
63.0	-26.953075
64.0	-25.734621
65.0	-23.732095
66.0	-22.194660
67.0	-20.998534
68.0	-19.952751
69.0	-19.501057
70.0	-17.856487
71.0	-16.871186
72.0	-16.654988
73.0	-16.307882
74.0	-16.299883
75.0	-15.535791
76.0	-14.737110
77.0	-14.539001
78.0	-14.940146
79.0	-14.893571
80.0	-13.834967
81.0	-12.036544
82.0	-12.029867
83.0	-11.004391
84.0	-10.774538
85.0	-11.079605
86.0	-10.664649
87.0	-10.292674
88.0	-10.458970
89.0	-9.760817
90.0	-9.964418
91.0	-9.568765
92.0	-9.321513
93.0	-9.253673
94.0	-8.899526
95.0	-9.131729
96.0	-8.261510
97.0	-8.457013
98.0	-7.686415
99.0	-8.148157
100.0	-8.027531
